aspect,base_category
prowess,performance
child seats,seats
pedals,brake
bump,road terrain
window seal,aerodynamics / airflow
rear row seat,seats
audi a6,model / generic car terms
view from back,visibility & view
energizing comfort control,comfort & ergonomics
piston calliper,aerodynamics / airflow
get in the car,doors
bracing,chassis / structural
torque,engine / power train
balance,traction / stability
protective system,driver assistance
cool features,functionality & features
kicks,acceleration
font,displays / instrumentation
stiffness,suspension
audi a4,model / generic car terms
modal,model / generic car terms
general quality,quality & durability
bodywork,body class
bmw a5,model / generic car terms
backseat room,passenger space
front door bins,storage & utility
high load floor,boot / cargo
footroom,passenger space
seat sliding forward,model / generic car terms
pose,emotional & sensory experience
manual,transmission
picking the route,navigation / mapping
crystal,interior materials & trim / finish
handled,driving dynamics / handling
track days,driving dynamics / handling
gas truck,fuel / energy / charging
technology pack,technology
snow,road terrain
quattro drive,model / generic car terms
fuel filler,fuel / energy / charging
ride suspension,drive
lower side wall,body class
speed limit,acceleration
class,body class
audi q3,model / generic car terms
engine range,engine / power train
mercedes technology,technology
rear doors,doors
suspension choice,suspension
air conditioning,aerodynamics / airflow
front end,front section
getting rid of  v10,engine / power train
power train,engine / power train
split tailgate,boot / cargo
extended cargo area,boot / cargo
things,generic description & miscellaneous
volvo xc60 offroad,road terrain
control interface,software / interaction
blue and red stitches,interior materials & trim / finish
engine sounds,engine / power train
traction,traction / stability
dynamic turn signals,lighting / indicators
petrol engine running,engine / power train
glove box,boot / cargo
ashtray,storage & utility
back seat,seats
window switches,physical controls
grip level,cornering
sport back,body type
q5,model / generic car terms
sloping roof,roof
exhaust note,exhaust
door pockets,storage & utility
front center,front section
dynamic,driving dynamics / handling
tire design,design
back of the car,rear section
unlock,keys & lock
carrying three people in back,passenger space
cost steering,steering
fenders,body class
tracks,dimensions & measurements
storage spaces,passenger space
minimalism,design
a6,model / generic car terms
seat folding,seats
engine note,engine / power train
hardtop,roof
logo,design
bench,seats
speed up,acceleration
drive system,drive
gearbox auto mode,transmission
build,build quality / construction
ipod connector to stereo,audio
differential,traction / stability
ring system,software / interaction
technologies,technology
smooth road drive,drive
daily use,storage & utility
hot hatch package,body type
rear seat,seats
parcel shelf,storage & utility
headliner,roof
interior experience,interior
audio,model / generic car terms
wide tires,wheels & tyres
turn off option,engine / power train
touchpad,software / interaction
silver trim on steering,design
second row seats,seats
incredibly tight street,road terrain
opulence,emotional & sensory experience
boot space,passenger space
view forward,visibility & view
main screen,displays / instrumentation
accelerate,acceleration
angular,design
power release,engine / power train
offroad driving,drive
gt price,model / generic car terms
wind noise,audio
equipment level,equipment
reversing,driver assistance
boot storage,storage & utility
button to open the boot,model / generic car terms
rpm band,engine / power train
direction change,steering
steering wheel mounted controls,steering
folders,storage & utility
digital display view change,visibility & view
engines,engine / power train
construction material,exterior materials & finish
lighting,lighting / indicators
fuel budget,fuel / energy / charging
300d power,engine / power train
view of the vehicle,visibility & view
wheel drive,drive
adjustable lumbar support,seats
manual gearboxes,transmission
center tunnel,interior
ending,generic description & miscellaneous
headrest pillows,seats
seatbelt,seats
definition,emotional & sensory experience
hold feature,functionality & features
steering lock,steering
x3,model / generic car terms
front curves,body class
sifting through menus,software / interaction
shock absorbers,brake
x1 x drive 28,model / generic car terms
e break activation lever,physical controls
u turns,cornering
deceleration,brake
storage area,storage & utility
petrol engine,engine / power train
bmw badge,design
openings,doors
leather,interior materials & trim / finish
engine sound,engine / power train
motorway,engine / power train
option packages,packages / trims / variants
overall interior quality,interior
stretch out,comfort & ergonomics
covering,exterior materials & finish
temperature control,climate / temperature control
back window,windows / glass
lift over height,dimensions & measurements
offroad pack,packages / trims / variants
audi a one,model / generic car terms
torque redirection,engine / power train
camera on the roof,roof
lower speed,acceleration
standard system,software / interaction
power allocation,engine / power train
coin holders,storage & utility
nooks,storage & utility
two litre turbo size,engine / power train
warranty,value / cost
mirror cover,mirrors
driver seat,drive
corner dynamic mode,cornering
arm rest,seats
entertainment system touch,software / interaction
parking assistant plus,driver assistance
underfloor storage area,storage & utility
tow hitch,storage & utility
windshield wipers,aerodynamics / airflow
sit up,seats
front door,doors
wax dropping from the door,doors
sense,functionality & features
dynamic mode air suspension,suspension
acoustics,audio
volvo xc60 power,engine / power train
x drive,drive
mountains,road terrain
slide,model / generic car terms
unload,boot / cargo
center seats,seats
fix covers,exterior materials & finish
trim,design
anti jacking,safety
hanging,storage & utility
hinges,doors
smells,emotional & sensory experience
bmw cars,model / generic car terms
two litre engine,engine / power train
carplay connectivity,connectivity / integration
50 d engine,engine / power train
steers,steering
usb on 12v socket,connectivity / integration
types of suspension,suspension
sporting,functionality & features
suspension (dynamic mode),suspension
wheel designs,design
trappings,interior materials & trim / finish
touring headroom,passenger space
throttle responsiveness,model / generic car terms
1.40 s8 engine upgrade,engine / power train
rollover,safety
front tires,wheels & tyres
sidewall,body class
seats dropping,seats
windscreen,windscreen / wipers
entertainment setup,software / interaction
theme,design
kick,acceleration
road noise,audio
push button reach,model / generic car terms
trunk shape,design
exterior styling,exterior materials & finish
sun visors,comfort & ergonomics
shape,design
planted call features,functionality & features
infotainment system,software / interaction
events,aerodynamics / airflow
carrying large items,model / generic car terms
rear air conditioning,aerodynamics / airflow
diesel engines,engine / power train
mercedes-benz  design,design
heads up display,displays / instrumentation
figures,distance / efficiency / mileage
interior loom,interior
price point feature,functionality & features
control over region,driving dynamics / handling
toggle switches,physical controls
couch,seats
back comfort,comfort & ergonomics
choice,road terrain
focus,emotional & sensory experience
door bin,storage & utility
exhaust systems,exhaust
fragrance,emotional & sensory experience
wireless charging,connectivity / integration
air intakes,aerodynamics / airflow
swivel controller,physical controls
metallic speakers,audio
torque vectoring,engine / power train
front motor setup,engine / power train
mileage,distance / efficiency / mileage
engine automatic switch off,engine / power train
comfy setting,comfort & ergonomics
virtual cockpit,displays / instrumentation
platform base,chassis / structural
back room,passenger space
downhill speed regulation,acceleration
0.1 litre,engine / power train
entertainment display,displays / instrumentation
rock crawling,road terrain
cornering,cornering
device,road terrain
quality,quality & durability
drivers,drive
drive in town,drive
overall seating position,seats
v8 engine,engine / power train
hatch,body type
traction management,traction / stability
emission,fuel / energy / charging
nine speed automatic,transmission
rear parking,parking
wheel design,design
durability,quality & durability
mode switch,driving dynamics / handling
down storage,storage & utility
bmw i a8,model / generic car terms
material quality,interior materials & trim / finish
front headlights,lighting / indicators
20 inch wheel,wheels & tyres
upgrade premium plus package,packages / trims / variants
smell,emotional & sensory experience
bmw x1,model / generic car terms
gt three dry road,model / generic car terms
c class,model / generic car terms
styling,design
gearbox,transmission
seatbelt adjustment,safety
gearshift modifications,transmission
rear pillar,chassis / structural
progress,driving dynamics / handling
central speaker,audio
sport,driving dynamics / handling
center of gravity,weight
fender flares,body class
get stuff in boot,boot / cargo
visual presence,design
heavy cornering,cornering
vibe,emotional & sensory experience
new x3,model / generic car terms
starting the car,model / generic car terms
a3 series,model / generic car terms
graphics chip,displays / instrumentation
satellite navigation system,navigation / mapping
ac,climate / temperature control
torque converter,engine / power train
mapping,navigation / mapping
steering wheel paddles,steering
comfort plus mode,comfort & ergonomics
rear spoiler,fuel / energy / charging
receiving position,seats
air scarf,aerodynamics / airflow
carrying three headroom,passenger space
new technology,technology
station wagon,body type
trunk,boot / cargo
remote features,functionality & features
interior design philosophy,design
opening,doors
rough surface,road terrain
lower lip,aerodynamics / airflow
length,model / generic car terms
dampers,suspension
central arm rest,seats
dials and buttons,model / generic car terms
diesel with four turbos,engine / power train
rear seating,seats
handling,driving dynamics / handling
seal between the doors,doors
foot room,passenger space
material,interior materials & trim / finish
bits,generic description & miscellaneous
camera special effects,cameras
plugin hybrid,fuel / energy / charging
fifth portion,passenger space
functionality,functionality & features
ride comfort,comfort & ergonomics
water jets,windscreen / wipers
middle chair,aerodynamics / airflow
knee airbag,safety
tray tables,storage & utility
public roads,road terrain
well being,emotional & sensory experience
touch pad,software / interaction
center section,interior
start stop,engine / power train
user interface,software / interaction
seat,seats
output figures,engine / power train
entertainment system view,visibility & view
steering ratio,steering
carplay,connectivity / integration
bmw four serious,model / generic car terms
brake,brake
bonnet,bonnet
storage tray,storage & utility
centre armrest,seats
folding metal roof,roof
load lift,boot / cargo
eco pro mode,fuel / energy / charging
seatback release,seats
sports plus mode,driving dynamics / handling
rest of the car,generic description & miscellaneous
cruising,driver assistance
look,design
lateral grip,cornering
boot storage cover,boot / cargo
rear engine,engine / power train
centre console,software / interaction
acceleration noise,audio
new r8,model / generic car terms
taxi drive,drive
comfort adaptive,comfort & ergonomics
touring body,body class
tire pressure monitoring,wheels & tyres
gear select,transmission
driver assisstance technology,technology
steering wheel control,steering
laser light headlights,lighting / indicators
backseats,seats
deductive suspension,suspension
microphones,audio
m6 port,model / generic car terms
get in and out -front,doors
steering guidance,steering
extra bits of trim,design
spring,suspension
standard seats,seats
tail lights design,design
net,storage & utility
styling appeal,design
reading light,lighting / indicators
loading,boot / cargo
hood,bonnet
manoeuvre in traffic,road terrain
leds,lighting / indicators
new q5,model / generic car terms
volvo xc60 drive,model / generic car terms
design quality,design
gesture control,gesture / motion controls
callipers,aerodynamics / airflow
crystal knob,physical controls
running cost,value / cost
highway,road terrain
saloon,body type
door trim,design
overall picture,model / generic car terms
seating position,seats
release button for center console,model / generic car terms
third row leg room,passenger space
storage pouch,storage & utility
high speed mobile internet,connectivity / integration
roundabouts,cornering
sport suspension mode,suspension
town,road terrain
option sheet,options & specifications
information display,displays / instrumentation
sports model,model / generic car terms
front seat backs,seats
review of car,visibility & view
slippery track,model / generic car terms
leather,interior materials & trim / finish
window surround,aerodynamics / airflow
weight balance,weight
climate control,climate / temperature control
hybrid version,fuel / energy / charging
split gate height,boot / cargo
tire pressure monitor,wheels & tyres
going downhill,road terrain
sides,side section
sports plus exhaust,exhaust
center stack,interior
g class,model / generic car terms
curvy road,road terrain
middle setting,model / generic car terms
performance amount,performance
smooth road,road terrain
x5,model / generic car terms
tray storage,storage & utility
glove box latch,boot / cargo
get in,doors
tronic gearbox,transmission
torque vectoring rear differential,traction / stability
electric seats,seats
audi a3 lineup,model / generic car terms
speed control,acceleration
emotion,emotional & sensory experience
life in tires,wheels & tyres
front space,passenger space
total range,distance / efficiency / mileage
performance,performance
rough roads,road terrain
sports car,model / generic car terms
rs6 color,design
bmw remote control parking,model / generic car terms
rest of the finish,interior materials & trim / finish
aluminium,exterior materials & finish
bumper,road terrain
steering precision,driving dynamics / handling
glove box size,boot / cargo
luxury package,packages / trims / variants
interior leather,interior
led lights,lighting / indicators
cushions,seats
light cover,lighting / indicators
autonomous driving,drive
drift mode,driving dynamics / handling
windscreen wipers,windscreen / wipers
bmw,model / generic car terms
flaps,aerodynamics / airflow
slip differential,traction / stability
widescreen setting,model / generic car terms
carpeting,model / generic car terms
twist road,road terrain
electronic shifter,transmission
interior,interior
s60 time,model / generic car terms
i drive seven,drive
bmw a8,model / generic car terms
rough road,road terrain
a4 boot,model / generic car terms
headlight,lighting / indicators
window lead,aerodynamics / airflow
blind spot monitoring,safety
dials,displays / instrumentation
styling accents,design
back pillar,chassis / structural
people over six foot,passenger space
steering feel,emotional & sensory experience
reliability,value / cost
exhaust flaps,exhaust
air curtains,aerodynamics / airflow
peddle operation,physical controls
audi tron,model / generic car terms
corner comfort mode,comfort & ergonomics
driving environment,drive
put together,build quality / construction
rev. counter,displays / instrumentation
usability,storage & utility
visibility at the front,visibility & view
driving environment lay out,drive
design details,design
competition,model / generic car terms
0 to 60 acceleration,acceleration
track,driving dynamics / handling
roadworks,functionality & features
camber,road terrain
useable,storage & utility
dirt,road terrain
surround view camera system,visibility & view
twin turbo petrol,engine / power train
sitting,model / generic car terms
regionalism,driving dynamics / handling
piano black trim,design
paint,exterior materials & finish
room inside,passenger space
adjustable side bolsters,seats
magic body control camera,body class
horses,performance
keyless entry,doors
style,design
paddles,physical controls
portal pini k gearbox,transmission
wind,aerodynamics / airflow
door plastics,doors
vehicle everything else,generic description & miscellaneous
laser lights,lighting / indicators
straight driving,drive
interior fit and finish,interior
information,technology
middle section,passenger space
charges,fuel / energy / charging
top cover,roof
usb charging ports,connectivity / integration
detail lights,lighting / indicators
go to 50,acceleration
side trim,design
artificial noise,audio
a one,model / generic car terms
electronic,technology
trunks,boot / cargo
backend capacity,rear section
glovebox,boot / cargo
softer suspension,suspension
wheel turn,wheels & tyres
shoulder room,passenger space
wing mirror,mirrors
top end,acceleration
hood latches,bonnet
foot down,acceleration
wider items,storage & utility
selection mode,physical controls
fit and finish,interior materials & trim / finish
driving system,drive
ends,rear section
brake field,brake
overall length,model / generic car terms
passenger space,passenger space
wheel options,software / interaction
corner braking,brake
quattro software,model / generic car terms
dash angle,displays / instrumentation
ski hatch,body type
manual mode drive,transmission
boot lip,aerodynamics / airflow
arches,exterior materials & finish
straps,storage & utility
sexiness,emotional & sensory experience
ceramic brakes,brake
sub menus,software / interaction
interior space,passenger space
drivability,driving dynamics / handling
materials quality,interior materials & trim / finish
cervix fittings,model / generic car terms
body shape,body class
audi virtual cockpit,model / generic car terms
s class driving experience,model / generic car terms
augmented reality satellite navigation system,navigation / mapping
diesel engine,engine / power train
goc 43,model / generic car terms
turbo lag,engine / power train
steering wheel shape,design
dry,road terrain
glass elements on gear selector,transmission
rear end,rear section
going fast on motorway,acceleration
air deflector,aerodynamics / airflow
chassis braces,chassis / structural
speaker,audio
traction control,traction / stability
corner lamps,cornering
cutaways for covers,exterior materials & finish
rear seats,seats
safety kit,safety
maneuverability,driving dynamics / handling
feel,emotional & sensory experience
lettering,design
blind spots,safety
changing gears using paddles,transmission
door handles,doors
power recovery,engine / power train
interior ambience,emotional & sensory experience
rear diffuser,aerodynamics / airflow
cooling drink,storage & utility
utility,storage & utility
country roads,road terrain
gear,transmission
bmw six series gt,model / generic car terms
cabin features,functionality & features
roof up and down,roof
sight,visibility & view
boot size,boot / cargo
switches,physical controls
dash design,design
accelerating,acceleration
center armrest,seats
blinds,windows / glass
shortcut buttons,model / generic car terms
no lower lip,aerodynamics / airflow
elbow room,passenger space
glass elements,windows / glass
fuel tank,fuel / energy / charging
v8 engine drive,engine / power train
air density,seats
top,roof
exhaust layer,exhaust
stability,traction / stability
boot,boot / cargo
diamonds,interior materials & trim / finish
iceberg covers,exterior materials & finish
sports plus suspension,suspension
shift lever,transmission
estate,body type
comfort,comfort & ergonomics
voice recognition system,voice & commands
petrol consumption,fuel / energy / charging
automatic numbers,distance / efficiency / mileage
a3 platform,model / generic car terms
outside,body class
speed dialog system,acceleration
driving experience,drive
starting price,road terrain
road around bends,road terrain
alloys,wheels & tyres
spacious,passenger space
x interface,software / interaction
mercedes-benz c . l . a,model / generic car terms
rotary dial,physical controls
central hat,roof
electricity usage,fuel / energy / charging
weight loss,weight
bmw x3,model / generic car terms
entertainment system,software / interaction
sport driving,drive
room width wise,passenger space
climate control buttons,model / generic car terms
r three,model / generic car terms
wifi connectivity,connectivity / integration
satellite navigation,navigation / mapping
engine noise,engine / power train
cargo space,passenger space
steering wheel,steering
cockpit,displays / instrumentation
corner exiting traction,traction / stability
front can,front section
audi x3,model / generic car terms
saloon s5 headroom,passenger space
over speed,acceleration
rear haunches,passenger space
mercedes-benz,model / generic car terms
trim (outside),design
widescreen,displays / instrumentation
front two seats,seats
three passengers,passenger space
manual gear change,transmission
quattro wheel drive,model / generic car terms
exterior noise,exterior materials & finish
gear change,transmission
sticker price,road terrain
folders on the backs of the chairs,storage & utility
antiroll bars,traction / stability
parking brake,brake
armrest,seats
front weight,weight
interior design,design
power uplift,engine / power train
foot well,passenger space
x two,model / generic car terms
rear windows,aerodynamics / airflow
i three,model / generic car terms
gt-r,model / generic car terms
cost,value / cost
load and unload,boot / cargo
luxury seating package,packages / trims / variants
climb,road terrain
aerodynamics,driving dynamics / handling
trunk size,boot / cargo
changing plugs,engine / power train
front cabin,interior
engine auto cut off,engine / power train
drives,drive
s tronic gearbox,model / generic car terms
tether points,boot / cargo
shift changes,transmission
car wash,model / generic car terms
digital key,connectivity / integration
door locks,doors
feel behind the steering,emotional & sensory experience
sport pack,packages / trims / variants
upgraded all round air suspension,suspension
middle headroom,passenger space
mpg,distance / efficiency / mileage
residual value,value / cost
city drive,drive
rear door bins,storage & utility
sport and performance package,packages / trims / variants
view,visibility & view
wipers,windscreen / wipers
key start,keys & lock
five and 1/2 1000 rpm,engine / power train
box,boot / cargo
variable rate steering,steering
exhaust sound,exhaust
dynamic driving mode,drive
digital dollars,value / cost
boot features,functionality & features
rear lights,lighting / indicators
rear deck lid,boot / cargo
nose,front section
upgrade,options & specifications
condition,build quality / construction
usablility,comfort & ergonomics
auxiliary connectors,connectivity / integration
manual paddles,transmission
rear visibility,visibility & view
driver assistant pack,drive
bulbs,lighting / indicators
audi grills,model / generic car terms
speaker sound system,audio
two in the back,passenger space
door bins,storage & utility
i drive,drive
bumpers,road terrain
visors,comfort & ergonomics
steering at speed,steering
drive motor,drive
window surrounds,aerodynamics / airflow
safety features,functionality & features
corner handling,driving dynamics / handling
quadrille wheel drive,drive
designed,design
handling right,driving dynamics / handling
m performance version,model / generic car terms
standard equipment,equipment
coat off,exterior materials & finish
soft touch plastics,interior materials & trim / finish
someone over six foot,passenger space
builds,build quality / construction
2.1 litre diesel engine,engine / power train
auto bends,cornering
panoramic sunroof,roof
real wood,interior materials & trim / finish
load height,boot / cargo
mirror,mirrors
details,design
turning radius,cornering
exhaust pipe surround,exhaust
steering mode,steering
liftgate,boot / cargo
window,aerodynamics / airflow
electrically operated steering column,steering
road conditions,road terrain
power trade,engine / power train
lower bumper,road terrain
side profile,body class
verdict,emotional & sensory experience
screen interface,displays / instrumentation
satin finish line,interior materials & trim / finish
stopping power,engine / power train
view changes,visibility & view
move,driving dynamics / handling
engineering,engine / power train
rear executive seat package,packages / trims / variants
metal roof,roof
smoke,exhaust
firmness,suspension
electric lumbar support,seats
mercedes-benz star,model / generic car terms
mercedes glc,model / generic car terms
a8 series,model / generic car terms
area,storage & utility
windshield,aerodynamics / airflow
efficiency mode,fuel / energy / charging
exhaust pipes,exhaust
foot wells,passenger space
gle 350,model / generic car terms
tail,rear section
midnight edition,packages / trims / variants
tethering point,connectivity / integration
prestige trim level,design
shift button,model / generic car terms
apple carplay,connectivity / integration
sports mode sound,audio
body,body class
exhausts pipes,exhaust
piloted drive system,drive
capacity,boot / cargo
boot liner,boot / cargo
horsepower,engine / power train
normal driving,drive
rear space,passenger space
servicing,value / cost
buying,value / cost
handling package,driving dynamics / handling
four zone climate control,climate / temperature control
road noise levels,audio
twin turbo petrol horsepower,engine / power train
big boy twin turbo,engine / power train
head space,passenger space
front seat control,seats
s line suspension,suspension
portia 7 18,model / generic car terms
slow speed,model / generic car terms
delivery,value / cost
bumps dynamic mode,road terrain
tie down tethers,boot / cargo
backseat headroom,passenger space
boots,boot / cargo
infotainment system knob,physical controls
a piece of plastic,exterior materials & finish
lighting functions,functionality & features
product,generic description & miscellaneous
motor noise,engine / power train
braking field,brake
power surge,engine / power train
front engine,engine / power train
x3 suspension,suspension
rides,drive
usefulness,storage & utility
cubby,storage & utility
number keypad,physical controls
3 series,model / generic car terms
emergency assist,safety
body style,body class
high pressure oil system,engine / power train
bmw 6 50,model / generic car terms
size,dimensions & measurements
gas cap,fuel / energy / charging
e 63,model / generic car terms
miles per gallon,distance / efficiency / mileage
lag,performance
upgraded command system definition,software / interaction
apple carplay price,connectivity / integration
shift,transmission
speed limiter,acceleration
cell phone spot,connectivity / integration
ico pro mode,fuel / energy / charging
ambient lighting package,packages / trims / variants
top down air,roof
bmw s4,model / generic car terms
f40 5 a.m. g suspension,model / generic car terms
gt three operating window,model / generic car terms
gesture commands,gesture / motion controls
towing,functional features
electronically controlled dampers,lighting / indicators
outside wheels,wheels & tyres
leather seats,seats
performers,performance
sound proofing,roof
drive version,drive
clicking sound,audio
rear quarter lights,lighting / indicators
push,acceleration
roar,audio
start stop feature,functionality & features
rear differential,traction / stability
steering adjustment,steering
alcantara,interior materials & trim / finish
door handle inserts,doors
tailgated,boot / cargo
suspension redesign,design
spoiler button,fuel / energy / charging
car racing technology increments,performance
fidget,emotional & sensory experience
acceleration in efficiency mode,acceleration
balance point,traction / stability
back frame,build quality / construction
oversteer,steering
back pillars,chassis / structural
headlamps,lighting / indicators
weight ratio,weight
automatic canister,fuel / energy / charging
nine speed automatic transmission,transmission
front seat,seats
rivals,model / generic car terms
snow and ice,road terrain
under floor storage,storage & utility
high speeds,acceleration
newest s class,model / generic car terms
front motor,engine / power train
front passenger seat fittings,model / generic car terms
touring,packages / trims / variants
sunroof,roof
slope,model / generic car terms
off roading,road terrain
talking price,road terrain
rpm,engine / power train
standard screen,displays / instrumentation
suv,body type
door opening,doors
lack of cabin noise,audio
long drives,drive
engineered,engine / power train
seat buttons,model / generic car terms
aero bits,aerodynamics / airflow
upward visibility,visibility & view
turbo power,engine / power train
battery location,model / generic car terms
three litre diesel engine,engine / power train
satnav system,navigation / mapping
gas struts,chassis / structural
parking sensors,parking
height from ground,dimensions & measurements
pulling power,engine / power train
normal mode sound,audio
downshift,transmission
quattro system,model / generic car terms
exterior design,exterior materials & finish
pillars,chassis / structural
color,design
ride,drive
automatic tailgate,boot / cargo
spoiler,fuel / energy / charging
under storage,storage & utility
sports mode gearbox,transmission
hard corners,cornering
drive everyday,drive
passenger seat,seats
start up,engine / power train
middle,passenger space
offroad grip,cornering
driving position,drive
blow,climate / temperature control
gt,model / generic car terms
offroad,road terrain
sports steering,steering
speeds,acceleration
green color,design
wind whistle,audio
technology pack processor,technology
dashes,displays / instrumentation
parking system,parking
front trunk,boot / cargo
acceleration,acceleration
auto emergency braking,brake
driving through central london,drive
exhaust system,exhaust
middle seat headroom,passenger space
rear seat legroom,passenger space
remote key operations,driver assistance
back door,doors
downforce,aerodynamics / airflow
practical,comfort & ergonomics
audio inputs,model / generic car terms
screen for air conditioning,displays / instrumentation
detail,design
accents,design
floor,interior
twin turbo petrol torque,engine / power train
carbon footprint,model / generic car terms
privacy glass,windows / glass
headlights,lighting / indicators
m5,model / generic car terms
dr selector,physical controls
body structure,body class
middle seat,seats
passenger in the back,passenger space
motor,engine / power train
a3,model / generic car terms
control over driving,drive
spring rate,suspension
camera mirrors,mirrors
center arm rest,seats
quattro ultra system,model / generic car terms
gear selection,transmission
extend front part seat,seats
side finish,interior materials & trim / finish
boot door,boot / cargo
bolsters on steering,steering
comforts,comfort & ergonomics
acceleration,acceleration
s3,model / generic car terms
drive feel,emotional & sensory experience
drive modes,drive
hybrid technology,fuel / energy / charging
passenger,passenger space
super sideways,body class
riding,drive
parcel shelf,storage & utility
security,safety
rearward facing child seats,seats
offroading traction control,traction / stability
power,engine / power train
reading lights,lighting / indicators
radio system,audio
google earth,navigation / mapping
door bin front,storage & utility
plastics,exterior materials & finish
c pillar,chassis / structural
air intake gt-r,model / generic car terms
front seat set,seats
folds in back seat,seats
springs,suspension
phone cradle,connectivity / integration
priced,road terrain
comfort suspension,comfort & ergonomics
navigation,navigation / mapping
netted areas,storage & utility
carbon fibre,exterior materials & finish
track driving,driving dynamics / handling
body control,body class
switch between screens,displays / instrumentation
front,front section
tight spaces,passenger space
tied down points,boot / cargo
twisty road,road terrain
upgraded command system screen,displays / instrumentation
a5,model / generic car terms
simplicity,comfort & ergonomics
front quarters,passenger space
folding mirrors,mirrors
safety technology,technology
carrying three in back,passenger space
miles an hour,distance / efficiency / mileage
adaptive suspension comfort mode,driving dynamics / handling
rear passengers,passenger space
deck lid,bonnet
writing pad,storage & utility
bmw m3,model / generic car terms
door tops,doors
undulations of the road,road terrain
seating flexibility,seats
a6 500e f40,model / generic car terms
knee rooms,passenger space
spare wheel,wheels & tyres
three action,gesture / motion controls
traffic,road terrain
range,fuel / energy / charging
throb,audio
corner handle,cornering
cable,connectivity / integration
two litre tf excitable petrol,fuel / energy / charging
back style,design
going reverse,transmission
no underfloor storage,storage & utility
carrying three,model / generic car terms
philosophy,emotional & sensory experience
entertainment system,software / interaction
a6 back,model / generic car terms
power distribution,engine / power train
recline,seats
legs,passenger space
carrying three abreast,passenger space
optional backup camera,cameras
parallel parking,parking
s90,model / generic car terms
audi q7,model / generic car terms
overall look,design
optional led 19 system,lighting / indicators
hook,storage & utility
dynamic engine,engine / power train
leg side bolsters,seats
dashboard,displays / instrumentation
touch pad swivel world system,software / interaction
assist,driver assistance
extendable seat base,seats
tire rim,wheels & tyres
battery management system,model / generic car terms
interior overall,interior
diesel model fuel tank,fuel / energy / charging
servicing plan,value / cost
unfamiliar back roads,road terrain
gap in the back,build quality / construction
turbo petrol engine,engine / power train
a 35,model / generic car terms
parking center switch,parking
grip,cornering
blade panel,exterior materials & finish
mastering the system,software / interaction
0 to 60 time,acceleration
silhouette,design
switches and dials,displays / instrumentation
maximum cargo space,passenger space
van,body type
steering wheel adjustment,steering
phone box,boot / cargo
entry level petrol engine,engine / power train
rear bumper,road terrain
quality,quality & durability
drive,drive
e class,model / generic car terms
back digital climate control,climate / temperature control
rail,chassis / structural
straight line,road terrain
display screen,displays / instrumentation
system,software / interaction
beam,lighting / indicators
seat backs,seats
handbrake,brake
counter,displays / instrumentation
sport steering,steering
mercedes-benz e class,model / generic car terms
minivan,body type
center screen,displays / instrumentation
gear change sound,transmission
performance exhaust,exhaust
children,passenger space
key less entry,doors
steering ratio ride,steering
instrument cluster,displays / instrumentation
sports suspension,suspension
tire noise,audio
shifts,transmission
corner balance,traction / stability
comfort ico plus,comfort & ergonomics
child seat,seats
sit,seats
side wall,side section
pillar for leaning on window,chassis / structural
power delivery,engine / power train
performance level,performance
stops,brake
back light bar,lighting / indicators
engine output,engine / power train
front seats,seats
gap,build quality / construction
e400 twin turbo v six power,engine / power train
composure,driving dynamics / handling
electrical system,software / interaction
dynamism,driving dynamics / handling
anti-roll bars,traction / stability
8 siris,voice & commands
right hand drive steering,steering
car storage,storage & utility
central screen,displays / instrumentation
rain sensing windshield wiper,aerodynamics / airflow
design ethos,design
front climbing and back,passenger space
manual gearbox,transmission
event,aerodynamics / airflow
construction,build quality / construction
electronic stability off,traction / stability
tail lights,lighting / indicators
panoramic moon,roof
finishing,interior materials & trim / finish
ionic range,fuel / energy / charging
foot walls,seats
seat up,seats
mpg sports mode,driving dynamics / handling
packs,packages / trims / variants
spec,options & specifications
hatchback,body type
persona,design
sun visor,comfort & ergonomics
public charges,fuel / energy / charging
especially back,rear section
centre of gravity,weight
gearshift,transmission
chairs,seats
camera angle,cameras
pockets in backseat,storage & utility
f40 5 a.m. g brakes,model / generic car terms
normal screen,displays / instrumentation
performance power,engine / power train
weight distribution,weight
manual mode,transmission
back wheel,wheels & tyres
rear seat roadster,seats
hybrid model,fuel / energy / charging
back side seats,seats
car seat,seats
new three series,model / generic car terms
2.5 litre petrol engine,engine / power train
battery upgrade,model / generic car terms
dry road,road terrain
setup,functional features
a4 quatro,model / generic car terms
auto driving,drive
economy,distance / efficiency / mileage
legroom,passenger space
load lifter,boot / cargo
audi a5,model / generic car terms
new sl,model / generic car terms
base,chassis / structural
back head room,passenger space
interior sophistication,interior
auto mode,driving dynamics / handling
side,side section
sporting events,functionality & features
upgraded professional satnav,navigation / mapping
mercedes e class coupe a,body type
format,displays / instrumentation
back seat elongated bracket,seats
lifespan,value / cost
design,design
upgraded satellite system,navigation / mapping
s class,model / generic car terms
lines,design
black stitching,interior materials & trim / finish
second generation,model / generic car terms
transmission tunnel,transmission
menu,software / interaction
electronics,technology
sounds,audio
magic vision control,visibility & view
automatic gearbox,transmission
dynamic sport mode,driving dynamics / handling
drive in narrow streets,drive
a5 sport back,model / generic car terms
front toe handle,physical controls
s three price,road terrain
pillar,chassis / structural
newest s class price,model / generic car terms
standard kit,options & specifications
set up,functional features
climate control knobs,physical controls
wood grain,interior materials & trim / finish
memory settings,model / generic car terms
bay,engine / power train
