,aspect,base_category
1166,a3 gravitas,model / generic car terms
1167,twin turbo petrol,engine/ power train
1168,agility,Driving Dynamics / Handling
1169,spoiler button,fuel / energy / charging
1170,price point,road terrain
1172,technology pack cost,climate / temperature control
1173,display,displays / instrumentation
1174,material selection,physical controls
1175,amber lighting,lighting
1177,phone cradle,connectivity / integration
1178,on road,road terrain
1180,right hand drive steering,steering
1181,braking field,brake
1182,engine note,engine / power train
1183,architecture platform,chassis / structural
1184,rough terrain,road terrain
1185,digital gauge cluster,displays / instrumentation
1186,bmw six series gt,model / generic car terms
1187,nap screen,displays / instrumentation
1188,rev limit,engine/ power train
1189,digital climate control,climate / temperature control
1190,sun roof,roof
1191,performance power,engine/ power train
1192,character,climate / temperature control
1193,exterior,exterior materials & finish
1194,mmi interface,climate / temperature control
1195,soft touch plastics,interior materials & trim / finish
1196,models,model / generic car terms
1197,under the car,model / generic car terms
1198,diesel engine,engine / power train
1199,seven speed gear box,transmission
1200,swivel controller,physical controls
1202,paint,exterior materials & finish
1204,engineering,engine / power train
1205,apple carplay price,connectivity / integration
1207,front wheel drive version,drive
1208,foot down (acceleration),climate / temperature control
1209,height from ground,dimensions & measurements
1210,dash,displays / instrumentation
1211,steering wheel mounted controls,steering
1212,carrying large items,model / generic car terms
1213,charging panel,fuel / energy / charging
1214,compartment,storage & utility
1215,panoramic sunroof,roof
1216,a8 series,model / generic car terms
1217,rear doors,doors
1218,two in the back,climate / temperature control
1219,right hand drive steering wheel,steering
1220,eco pro,fuel / energy / charging
1221,gated shifter,transmission
1223,digital gauge,displays / instrumentation
1224,manual gearbox,transmission
1225,twin turbo petrol torque,engine/ power train
1226,someone over six foot,passenger space
1227,petrol tank,fuel / energy / charging
1228,cabriole,body type
1230,2.1 litre diesel engine,engine / power train
1231,seven series,model / generic car terms
1232,map lights,lighting
1233,parking assist,driver assistance
1234,audi q3,model / generic car terms
1237,e brake,brake
1239,glove box space,climate / temperature control
1240,a8 reversing,model / generic car terms
1241,quattro system,model / generic car terms
1243,interior color choices,interior
1244,purchase,value / cost
1245,get snow off the car,road terrain
1246,seating flexibility,seats
1248,tire change pot,wheels & tyres
1250,sailing mode,Driving Dynamics / Handling
1251,cylinder,engine/ power train
1252,v8 engine,engine / power train
1253,power train,engine/ power train
1254,loading heavy cargo,boot/cargo
1255,value,value / cost
1256,apple carplay,connectivity / integration
1257,damper suspension,suspension
1258,bonnet,bonnet
1259,rear balance,traction / stability
1260,porsche 911,model / generic car terms
1261,couch,seats
1262,corner handlig,cornering
1263,interior color,interior
1264,a4 g5 steering,steering
1265,navigating menus,software / interaction
1266,interiors,interior
1267,striping,design
1268,c pillar,visibility & view
1269,cell,connectivity / integration
1270,petrol charging,fuel / energy / charging
1271,c e400,model / generic car terms
1272,offroad height raise,road terrain
1273,door design,doors
1275,boot floor,boot/cargo
1276,vita engine,engine / power train
1277,interior light pattern,model / generic car terms
1278,suspension spring,suspension
1279,grab handle,Comfort & Ergonomics
1280,indicator lights,lighting
1281,auto gearbox,transmission
1282,wheel arches,wheels & tyres
1283,air breathers,aerodynamics / airflow
1284,suspension settings,model / generic car terms
1286,change mode controls,Driving Dynamics / Handling
1287,button placement,model / generic car terms
1288,internet connectivity package,climate / temperature control
1289,rear diffuser,aerodynamics / airflow
1290,car racing technology increments,climate / temperature control
1291,front end look,design
1292,lifting things,boot/cargo
1293,exhaust volume,exhaust
1294,speeding,acceleration
1295,stereo volume control,audio
1296,digital controls,displays / instrumentation
1297,infotainment platform,software / interaction
1298,adjustability,traction / stability
1299,foot down,acceleration
1300,dash design,displays / instrumentation
1301,off ramp,road terrain
1303,back space,climate / temperature control
1304,transmission tunnel,transmission
1306,climate control,climate / temperature control
1307,woods,road terrain
1308,seat pulling back,climate / temperature control
1309,hood latches,bonnet
1310,carpet,model / generic car terms
1311,money,value / cost
1312,bmw i a8 price,model / generic car terms
1313,diesel,fuel / energy / charging
1315,model x,model / generic car terms
1316,footspace,climate / temperature control
1318,dirt road,road terrain
1319,servicing plan,value / cost
1320,parking,parking
1321,black box on white red,climate / temperature control
1322,normal suspension,suspension
1323,digital space,climate / temperature control
1324,competition pack,climate / temperature control
1325,massage,Comfort & Ergonomics
1326,roll bars,traction / stability
1327,extendable seat base,seats
1329,parcel shelf,storage & utility
1330,over six foot,passenger space
1331,surround cameras,cameras
1332,s class,model / generic car terms
1333,coat hook,Comfort & Ergonomics
1334,material quality,interior materials & trim / finish
1335,seat adjustment,Comfort & Ergonomics
1336,real wood,interior materials & trim / finish
1337,panel gaps,build quality / construction
1338,usb on 12v socket,connectivity / integration
1341,new q3,model / generic car terms
1342,shoulder room,passenger space
1343,anti friction turbo bearings,engine / power train
1344,sightlines,visibility & view
1345,find the right gear,transmission
1346,launch control process,acceleration
1347,powerful,engine/ power train
1348,tied down points,boot/cargo
1350,sport suspension mode,suspension
1351,front climbing and back,climate / temperature control
1352,third row leg room,passenger space
1353,guages,displays / instrumentation
1355,tech display,displays / instrumentation
1356,safety kit,safety
1357,life in tires,wheels & tyres
1359,three action,climate / temperature control
1360,boot useful features,boot/cargo
1361,ledge,lighting
1362,corner dynamic mode,cornering
1363,folders on the backs of the chairs,climate / temperature control
1364,parking system,parking
1365,audi a4,model / generic car terms
1366,outside dimensions,body class
1367,rear window,aerodynamics / airflow
1369,back view,climate / temperature control
1370,gearbox response,transmission
1371,tray,storage & utility
1372,infotaintment system,software / interaction
1373,bmw x5,model / generic car terms
1374,driving experience,drive
1375,power allocation,engine/ power train
1376,normal driving speed,drive
1377,trim (inside),interior
1379,gt price,model / generic car terms
1380,revs,engine/ power train
1382,tire looks,wheels & tyres
1383,g wagon,model / generic car terms
1384,backseat legroom,climate / temperature control
1385,sunroof,roof
1386,speed dialog system,acceleration
1387,s60 time,model / generic car terms
1388,driving in tow,drive
1389,boot overall capacity,climate / temperature control
1390,portal pini k gearbox,transmission
1391,cushioning,seats
1392,a3 looks,model / generic car terms
1393,mercedes c 63 or a bmw m3,model / generic car terms
1394,leg room second row,passenger space
1395,fuel filler,fuel / energy / charging
1396,curvy road,road terrain
1397,get out,doors
1398,climate control dials,climate / temperature control
1399,500e,model / generic car terms
1400,finishes,interior materials & trim / finish
1401,electric assistant,driver assistance
1402,sports suspension,suspension
1403,air,aerodynamics / airflow
1404,dials and buttons,model / generic car terms
1405,sport mode steering,steering
1406,package,climate / temperature control
1407,spend extra on adaptive suspension,suspension
1408,s90,model / generic car terms
1409,frame,build quality / construction
1410,dr selector,physical controls
1411,performance exhaust,exhaust
1412,rear suspension,suspension
1413,satnav screen,displays / instrumentation
1414,seatbelt straps,seats
1416,tire holding,wheels & tyres
1418,ico pro mode,fuel / energy / charging
1419,climate controls action,climate / temperature control
1420,car settings,model / generic car terms
1421,manual mode drive,drive
1422,camera special effects,cameras
1423,paddle shifters,transmission
1424,left hand drive steering wheel,steering
1425,i drive,drive
1426,sloping roof,model / generic car terms
1427,room width wise,passenger space
1429,boot lid,boot/cargo
1430,aero bits,aerodynamics / airflow
1431,a3 series,model / generic car terms
1432,side mirrors,mirrors
1433,body style,body class
1434,audi x1,model / generic car terms
1435,q3,model / generic car terms
1437,8 siris,voice & commands
1438,exhaust pipe,exhaust
1439,rear seating,seats
1440,steering wheel button,steering
1441,central arm rest,seats
1442,overall picture,model / generic car terms
1443,standard screen,displays / instrumentation
1445,led lighting,lighting
1447,rear apron,boot/cargo
1448,adaptive steering,steering
1449,downhill speed regulation,acceleration
1450,eco pro mode,fuel / energy / charging
1451,driver involvement,drive
1452,voice grins,road terrain
1453,m6,model / generic car terms
1454,get in and out,doors
1455,ambient lighting package,climate / temperature control
1456,upward visibility,visibility & view
1457,gauges,displays / instrumentation
1459,mpg sports mode,Driving Dynamics / Handling
1460,graphics chip,displays / instrumentation
1461,durability,value / cost
1462,boot door,boot/cargo
1463,wood veneer,interior materials & trim / finish
1464,back shape,climate / temperature control
1465,netting,model / generic car terms
1466,adults in back,climate / temperature control
1467,bmw remote control parking,model / generic car terms
1468,door locks,doors
1469,sidewall,body class
1470,back comfort,Comfort & Ergonomics
1471,shelf,storage & utility
1472,navigation control,navigation / mapping
1473,towing capacity,climate / temperature control
1474,apple carplay,connectivity / integration
1475,upgrade premium plus package,climate / temperature control
1476,storage underneath,storage & utility
1477,main entertatinment screen,displays / instrumentation
1478,steering adjustment,Comfort & Ergonomics
1479,sports mode gearbox,transmission
1480,dashboard,displays / instrumentation
1481,exhaust flaps,exhaust
1482,volume control,audio
1483,driving in town,drive
1484,satellite navigation,navigation / mapping
1485,glove box size,boot/cargo
1488,slip differential,traction / stability
1489,interior ambience,interior
1490,passenger seat,seats
1491,standard entertainment screen,displays / instrumentation
1492,steering rod,steering
1493,acceleration from stop,climate / temperature control
1495,boosting,engine / power train
1496,power recovery,engine/ power train
1497,serious offroad,road terrain
1499,charges,fuel / energy / charging
1500,seat,seats
1501,buttons,model / generic car terms
1502,speed transmission shifts,transmission
1503,practical,Comfort & Ergonomics
1504,support adjustments,Comfort & Ergonomics
1506,see,visibility & view
1507,driving modes,drive
1509,i drive,drive
1510,speed on,acceleration
1511,window,aerodynamics / airflow
1512,overall seating position,seats
1513,e400 twin turbo v six power,engine/ power train
1514,optional led 19 system,lighting
1515,bmw technology,model / generic car terms
1516,storage(front passenger seat),storage & utility
1517,inside looks,interior
1518,kneeroom,passenger space
1519,transition,seats
1520,air intakes,aerodynamics / airflow
1521,turbo power,engine/ power train
1522,gear shift,transmission
1523,engine mounts,engine / power train
1524,materials,interior materials & trim / finish
1525,power buildup,build quality / construction
1527,roadworks,road terrain
1529,corner,cornering
1530,safe,safety
1531,mercedes,model / generic car terms
1532,steering (sports),steering
1533,offroad pack,climate / temperature control
1534,off switch,physical controls
1535,electric car,fuel / energy / charging
1536,android auto,connectivity / integration
1537,storage bits,storage & utility
1538,three litre diesel engine,engine / power train
1539,manoeuvring speeds,steering
1540,load lift,boot/cargo
1541,0 to 60,acceleration
1542,airflow,aerodynamics / airflow
1543,getting rid of v10,model / generic car terms
1544,m 8 50 i the 4.4 litre twin turbo v8,engine/ power train
1545,four wheel drive traction,drive
1546,diesel with four turbos,engine/ power train
1547,cushions,seats
1548,bmw a5,model / generic car terms
1549,color tone,design
1550,bowers and wilkins diamond surround sound system,audio
1551,blind spots,safety
1553,interior noise,interior
1554,potholes,road terrain
1555,parking assistant plus,driver assistance
1557,bumps,road terrain
1559,handling appeal,Driving Dynamics / Handling
1560,infotaintment system knob,physical controls
1561,side profile,body class
1562,brakes,brake
1563,steering (dynamic mode),steering
1564,apple carplay,connectivity / integration
1565,traffic updates,navigation / mapping
1568,storage pack,storage & utility
1569,hood,bonnet
1570,memory settings,model / generic car terms
1571,outward visibility,visibility & view
1574,upgraded command system definition,software / interaction
1575,reclining,seats
1576,220 c d engine,engine / power train
1577,v six,engine/ power train
1578,no lower lip,aerodynamics / airflow
1579,bolsters,seats
1580,back door,climate / temperature control
1581,amg a4 g5,model / generic car terms
1582,sifting through menus,software / interaction
1583,autonomous driving,drive
1584,parking brake,brake
1585,corner handling,Driving Dynamics / Handling
1586,downshift,transmission
1588,front space,climate / temperature control
1589,a4,model / generic car terms
1590,pillars,visibility & view
1591,backseat functions,climate / temperature control
1592,autonomous driving system,drive
1593,front cabin,interior
1594,camber,road terrain
1595,top end,acceleration
1596,standing quarter,acceleration
1597,steering controls,steering
1598,stitched button,model / generic car terms
1599,obstacles,climate / temperature control
1600,under storage,storage & utility
1601,positioning of steering wheel,steering
1602,road noise,audio
1603,bmw air intake,model / generic car terms
1604,grip level,traction / stability
1606,four cylinder engine,engine / power train
1608,shopping basket,boot/cargo
1609,sports package,climate / temperature control
1610,wifi speed,connectivity / integration
1611,centre of gravity,weight
1612,automatic gearbox,transmission
1614,marina leather,interior materials & trim / finish
1615,engine response,engine / power train
1617,center seats,seats
1618,vision,visibility & view
1619,foot well,passenger space
1620,split gate,boot/cargo
1621,head rest not put up,seats
1622,ownership proposition,seats
1624,x1 x drive 28,model / generic car terms
1625,hybrid system,fuel / energy / charging
1626,turning volume with index finger,cornering
1627,command online system,voice & commands
1629,back seat elongated bracket,climate / temperature control
1630,magic sky feature,roof
1631,four people,passenger space
1632,individual mode,Driving Dynamics / Handling
1633,rear seat combination,seats
1634,engine turn off,engine / power train
1636,graphics screen,displays / instrumentation
1637,seat folding,seats
1638,middle setting,model / generic car terms
1639,child seat,seats
1640,signature on every windscreen,windscreen / wipers
1642,sls,model / generic car terms
1643,deductive suspension,suspension
1644,usablility,Comfort & Ergonomics
1645,talking price,road terrain
1646,switches,physical controls
1649,hard corners,cornering
1650,new m3,model / generic car terms
1651,ipad stall screen,displays / instrumentation
1652,top speed,acceleration
1653,quilted leather,interior materials & trim / finish
1654,track driving,climate / temperature control
1655,creases,body class
1656,badges,design
1657,surfacing treatment,climate / temperature control
1658,sedan,body type
1659,colors,design
1662,back features,climate / temperature control
1664,quilting,interior materials & trim / finish
1665,trim pieces,interior materials & trim / finish
1667,intakes,aerodynamics / airflow
1669,bumps dynamic mode,road terrain
1670,battery,model / generic car terms
1671,economics,value / cost
1673,optional backup camera,climate / temperature control
1674,most laid back position,climate / temperature control
1675,porsche gearbox,transmission
1676,front door,doors
1677,speakers,audio
1678,suspension tuning,suspension
1679,lighting colors,lighting
1680,aluminium finish,interior materials & trim / finish
1681,back trim,climate / temperature control
1683,carriage pull,model / generic car terms
1685,automatic transmission,transmission
1686,button,model / generic car terms
1687,s4,model / generic car terms
1688,launch control,acceleration
1689,city drive,drive
1690,carrying rear passengers,passenger space
1691,s line suspension,suspension
1693,firmness,suspension
1694,extended cargo area,boot/cargo
1695,rear seat control,seats
1696,bmw launch control,model / generic car terms
1697,electricity usage,fuel / energy / charging
1698,laser light headlights,lighting
1700,hubs,wheels & tyres
1701,back legroom,climate / temperature control
1702,voice commands,voice & commands
1703,shift,transmission
1704,carbon fibre engine cover,engine / power train
1705,view of the vehicle,visibility & view
1706,fuel tank,fuel / energy / charging
1707,rear visibility,visibility & view
1708,emergency service,road terrain
1709,sport seats,seats
1710,door bins,storage & utility
1712,back seat space,climate / temperature control
1713,deals,value / cost
1715,drive itself,drive
1718,ac,climate / temperature control
1719,rear trunk,boot/cargo
1720,ride quality,drive
1721,old v8 engine,engine / power train
1722,deceleration,brake
1723,big boy twin turbo,engine/ power train
1724,bigger bumps,road terrain
1725,softer suspension,suspension
1726,storage cubbies,storage & utility
1727,rear headrooms,passenger space
1728,new rs6 300d gt-r,model / generic car terms
1729,stopping power,engine/ power train
1730,oil,fuel / energy / charging
1731,six cylinder car,engine/ power train
1732,overall quality,model / generic car terms
1733,offroading traction control,climate / temperature control
1735,cost steering,steering
1736,corner braking,brake
1737,learn to drive,drive
1738,review mirror,visibility & view
1739,launch control system,acceleration
1740,a3 platform,model / generic car terms
1741,air intake,aerodynamics / airflow
1742,power surge,engine/ power train
1743,product,model / generic car terms
1744,country roads,road terrain
1746,google earth,navigation / mapping
1747,underfloor storage area,storage & utility
1748,lettering feature,model / generic car terms
1749,three in the back,climate / temperature control
1750,mercedes-benz c . l . a,model / generic car terms
1753,c 220,model / generic car terms
1754,metallic flack,climate / temperature control
1755,backseat head room,climate / temperature control
1756,metallic speakers,audio
1757,discount,brake
1758,ventilated seat option,seats
1759,0 to 60 run,acceleration
1760,trim (outside),interior materials & trim / finish
1761,bolsters on steering,steering
1762,speed shift transmission,transmission
1763,agility switch,Driving Dynamics / Handling
1764,rear following front,Driving Dynamics / Handling
1765,magic sky control,roof
1766,smaller bumps,road terrain
1767,glc,model / generic car terms
1768,camera system,cameras
1770,surround view cameras,visibility & view
1771,propulsion,engine/ power train
1772,rear seat headroom,seats
1773,rear row seat,seats
1774,dash angle,displays / instrumentation
1776,new audi rs three,model / generic car terms
1777,cabin,interior
1778,window surrounds,aerodynamics / airflow
1779,audi a one,model / generic car terms
1780,luxury seating package,climate / temperature control
1781,comfort suspension,Comfort & Ergonomics
1782,rear passenger door bins,passenger space
1784,vehicle everything else,model / generic car terms
1785,offroading,road terrain
1786,finishing,interior materials & trim / finish
1787,audio inputs,model / generic car terms
1788,style,design
1790,glove box,boot/cargo
1791,over six foot people,passenger space
1792,acoustic glass,climate / temperature control
1793,bmw 6 50,model / generic car terms
1794,interior upgrades,interior
1795,camera angle,cameras
1796,bmw x3,model / generic car terms
1798,drivers,drive
1799,first generation drive,drive
1800,engine stop start feature,engine / power train
1801,leather,interior materials & trim / finish
1802,base car,model / generic car terms
1803,driver assisstance technology,drive
1804,front door bins,storage & utility
1805,drives,drive
1806,shapes around instrument,design
1807,manual paddles,transmission
1810,one plastic,exterior materials & finish
1811,three passengers,passenger space
1812,bench,seats
1813,cabins,interior
1814,exhaust note,exhaust
1815,sl s amg,model / generic car terms
1816,grill,grill
1817,sound insulation,audio
1820,engine,engine / power train
1821,digital instruments,displays / instrumentation
1822,carrying three,model / generic car terms
1823,touch pad swivel world system,software / interaction
1824,headlights,lighting
1825,support under legs,seats
1826,control interface,climate / temperature control
1827,audi rs4,model / generic car terms
1829,current design,design
1830,overall length,model / generic car terms
1831,green screen,displays / instrumentation
1832,petrol usage,fuel / energy / charging
1833,interior loom,interior
1834,gearshift,transmission
1835,load area,boot/cargo
1836,s8,model / generic car terms
1837,a6 500e f40,model / generic car terms
1838,shopping bag hookers,Comfort & Ergonomics
1839,big bulky child safe,safety
1840,back seats down,climate / temperature control
1841,x3 suspension,suspension
1842,race track,climate / temperature control
1843,seats dropping,seats
1844,air conditioning,aerodynamics / airflow
1845,door open,doors
1846,mercedes-benz e class,model / generic car terms
1847,steering lock,steering
1848,back knee room,climate / temperature control
1851,back piano plastic,climate / temperature control
1852,parking guidance system,driver assistance
1853,road holding,road terrain
1855,tired,wheels & tyres
1857,wagon,body type
1858,device,road terrain
1860,bracing,climate / temperature control
1861,20 inch wheel,wheels & tyres
1862,gear shifter,transmission
1863,trunk,boot/cargo
1864,engine choice,engine / power train
1866,offroad sound,audio
1867,steering wheen adjustment,Comfort & Ergonomics
1868,navigation,navigation / mapping
1869,rear engine,engine / power train
1870,rotary dial,physical controls
1871,corners,cornering
1872,volvo xc60 power,engine/ power train
1873,rear quarter lights,lighting
1874,brake callipers,aerodynamics / airflow
1875,tray tables,storage & utility
1876,three litre v sixty,engine/ power train
1877,rs three,model / generic car terms
1878,super sideways,body class
1879,slabs,model / generic car terms
1880,rear differential,traction / stability
1881,full sports plus mode,Driving Dynamics / Handling
1883,front curves,body class
1884,hybrid model,fuel / energy / charging
1885,mirror,mirrors
1887,corner lamps,cornering
1888,rear leg room,passenger space
1890,overall,model / generic car terms
1891,s5,model / generic car terms
1892,traction management,climate / temperature control
1893,long term reliability,value / cost
1894,voice activation system,climate / temperature control
1895,body kit,body class
1899,fittings,model / generic car terms
1900,steering comfort mode,Comfort & Ergonomics
1902,a7,model / generic car terms
1903,driving tech,drive
1904,performance drivability,Driving Dynamics / Handling
1905,seatbelt,seats
1906,e 63,model / generic car terms
1908,public charges,fuel / energy / charging
1909,wipers,windscreen / wipers
1910,bmw m6,model / generic car terms
1911,aero bits price,aerodynamics / airflow
1913,reversing assistant tech,driver assistance
1914,back,climate / temperature control
1915,i three,model / generic car terms
1916,wide retired,wheels & tyres
1917,cruiser,driver assistance
1918,exhausts,exhaust
1919,windshield,aerodynamics / airflow
1920,high speed motorways,engine/ power train
1921,1.40 s8 engine upgrade,engine / power train
1922,touch pad,software / interaction
1923,rear wheels,drive
1924,headrooms,passenger space
1925,mirrors,mirrors
1926,hot hatch package,climate / temperature control
1927,throb,audio
1928,electronic stability off,traction / stability
1929,lip,aerodynamics / airflow
1930,x interface,climate / temperature control
1931,artificial noise,audio
1932,water jets,windscreen / wipers
1933,driving through central london,drive
1934,sl c300,model / generic car terms
1935,city noise,audio
1936,leather seats,seats
1938,stereo system,audio
1939,optional baskets,storage & utility
1940,wood grain,interior materials & trim / finish
1941,engine notes,engine / power train
1942,manual driving,transmission
1943,drawer,storage & utility
1944,tail lights design,lighting
1945,digital display view change,visibility & view
1947,roundabout,cornering
1948,headlight,lighting
1950,entry level petrol engine,engine / power train
1952,switch between screens,displays / instrumentation
1953,brake,brake
1955,snow and ice,road terrain
1956,stiffness,suspension
1957,blind spot mornitoring,safety
1958,driver seat,drive
1960,speed limit,acceleration
1963,trunk space,climate / temperature control
1964,rear door bins,storage & utility
1966,pumps sound,audio
1968,magnetic ride,drive
1969,glove boxes,boot/cargo
1970,wheel drive,drive
1971,usb,connectivity / integration
1972,load floor,boot/cargo
1973,technology price,software / interaction
1974,interior overall,interior
1975,handling right,Driving Dynamics / Handling
1976,plugin hybrids,fuel / energy / charging
1977,v8 engine,engine / power train
1978,body structure,body class
1979,"bmw 3 40 i , drive",model / generic car terms
1980,few buttons,model / generic car terms
1981,windscreen wipers,windscreen / wipers
1982,electric engine,engine / power train
1983,supportive gas struts,seats
1984,front grill,grill
1985,second row,passenger space
1986,cargo room,boot/cargo
1987,v8 engine,engine / power train
1988,driving assistance package,climate / temperature control
1989,road,road terrain
1991,sports plus suspension,suspension
1992,balance,traction / stability
1993,grip,traction / stability
1994,lighting animations,lighting
1995,traction,climate / temperature control
1996,understeer,steering
1997,materials quality,interior materials & trim / finish
1999,tire rim,wheels & tyres
2000,rock crawling,road terrain
2001,storage areas,storage & utility
2002,blind state monitoring,visibility & view
2003,drive motor,drive
2004,engines,engine / power train
2005,electronic shifter,transmission
2007,rs3,model / generic car terms
2008,roof bars,roof
2009,leg side bolsters,seats
2010,tether points,boot/cargo
2011,cruising,driver assistance
2013,m 7 60,model / generic car terms
2014,indicators,displays / instrumentation
2015,reversing,driver assistance
2016,new q5,model / generic car terms
2017,appearance,design
2018,mercedes-benz accents,model / generic car terms
2019,torque rating,engine/ power train
2020,below body structure,body class
2021,0 to 60 time,acceleration
2022,lighting functions,lighting
2024,cubby space,climate / temperature control
2025,automatic box,boot/cargo
2026,audi a8,model / generic car terms
2027,carbon fibre,exterior materials & finish
2028,audi a3 lineup,model / generic car terms
2030,windshield wipers,aerodynamics / airflow
2031,tire,wheels & tyres
2032,quattro wheel drive,model / generic car terms
2033,two axle air suspension,suspension
2034,gt three bumpy road,model / generic car terms
2035,starting the car,model / generic car terms
2036,bmw 7 60 li,model / generic car terms
2038,concierge service,road terrain
2041,air intake gt-r,model / generic car terms
2042,garment satnav,seats
2043,auto bends,cornering
2044,trim,interior materials & trim / finish
2045,wing mirror,mirrors
2046,normal wheel base version,chassis / structural
2047,green color,design
2048,spacious,climate / temperature control
2050,a3,model / generic car terms
2051,potential performance,performance
2052,lower dash plastic,displays / instrumentation
2053,two litre diesel,fuel / energy / charging
2054,displacement,climate / temperature control
2055,front seat backs,climate / temperature control
2056,brake field,brake
2057,reversing camera definition,driver assistance
2058,tronic gearbox,transmission
2059,lift over height,dimensions & measurements
2060,mercedes sl,model / generic car terms
2062,third row seats,seats
2063,driving environment lay out,drive
2064,entertainment screen,displays / instrumentation
2065,window down,aerodynamics / airflow
2066,top end rush,acceleration
2067,launch,acceleration
2068,fold seats down,seats
2069,tv chair,displays / instrumentation
2071,magnifying glass,visibility & view
2073,engine pulling power,engine / power train
2074,new r8,model / generic car terms
2075,manual mode,transmission
2076,displays,displays / instrumentation
2080,machine,climate / temperature control
2082,safety,safety
2083,design ethos,design
2084,performance advantage,performance
2085,styling appeal,design
2087,steering wheel adjustment,Comfort & Ergonomics
2088,paddle shifter,transmission
2089,audi a5,model / generic car terms
2090,audi,model / generic car terms
2091,exterior design,exterior materials & finish
2092,sharp turn,cornering
2093,headspace,climate / temperature control
2094,rear seat roadster,seats
2096,m3,model / generic car terms
2097,roof panel,roof
2098,gt,model / generic car terms
2100,new sl,model / generic car terms
2101,ride suspension,drive
2102,doors,doors
2103,wheel turn,wheels & tyres
2104,central speaking,voice & commands
2106,whole,model / generic car terms
2107,track,climate / temperature control
2108,bmw drivers,model / generic car terms
2109,speed,acceleration
2110,place,climate / temperature control
2111,elbow room,passenger space
2112,boot liner,boot/cargo
2113,rides,drive
2115,quattro system,model / generic car terms
2116,family car,body type
2117,sun visors,windscreen / wipers
2118,view out,visibility & view
2119,automatic braking,brake
2120,race,climate / temperature control
2121,steering sport,steering
2122,a5,model / generic car terms
2123,corner comfort mode,Comfort & Ergonomics
2124,door handles,doors
2125,space,climate / temperature control
2126,grill,grill
2127,drive mode,drive
2128,diesel version,fuel / energy / charging
2129,gearbox,transmission
2130,downshifts,transmission
2131,hooks,Comfort & Ergonomics
2132,camber dirt road,road terrain
2133,audi g5,model / generic car terms
2134,price point feature,road terrain
2135,back seat,climate / temperature control
2137,gestures,gesture / motion controls
2138,glass elements on gear selector,transmission
2140,digital key,connectivity / integration
2141,middle seat legroom,seats
2142,speeds,acceleration
2143,rev counter,engine/ power train
2144,proposition,seats
2145,pedals,brake
2147,v8 engine drive,engine / power train
2148,climate control knobs,climate / temperature control
2149,interior fit and finish,interior
2150,on track performance,climate / temperature control
2151,bmw,model / generic car terms
2152,audi presence,model / generic car terms
2154,instrument cluster,displays / instrumentation
2155,head rest,seats
2156,center armrest,seats
2157,cabin noise,interior
2158,fold third row,Comfort & Ergonomics
2160,opening bonnet,doors
2161,visibility,visibility & view
2162,upgraded all round air suspension,suspension
2164,front headlights,lighting
2165,wheel arch intrusion,wheels & tyres
2166,engine start button,engine / power train
2167,m6 port,model / generic car terms
2169,doors open,doors
2171,hood vent,aerodynamics / airflow
2172,handling balance,traction / stability
2173,upgraded professional satnav,navigation / mapping
2175,utility,Comfort & Ergonomics
2176,fourth gear,transmission
2177,drive train,drive
2178,cervix fittings,model / generic car terms
2179,gt three operating window,model / generic car terms
2180,construction technique,software / interaction
2182,few pieces of plastic,exterior materials & finish
2183,technologies,software / interaction
2184,window switches,physical controls
2185,driver assistant pack,drive
2186,track days,climate / temperature control
2187,car tire pot,wheels & tyres
2189,seat belts,seats
2190,touring headroom,passenger space
2191,armrest,seats
2193,bmw 360 degree surround camera,model / generic car terms
2194,front wheel,wheels & tyres
2195,dynamic driving mode,drive
2196,all wheel drive,drive
2197,absolutely acres of,climate / temperature control
2198,exteriors,exterior materials & finish
2199,chassis,chassis / structural
2201,load cover,boot/cargo
2202,swerve control,traction / stability
2203,lumbar support,seats
2204,steering mode,steering
2205,driver satisfaction,drive
2206,gap in the back,climate / temperature control
2207,cubby,storage & utility
2208,snow storm,road terrain
2209,adaptive m6 port suspension comfort model,Comfort & Ergonomics
2210,underfloor storage,storage & utility
2211,new battery pack,model / generic car terms
2212,summer tires,wheels & tyres
2213,front seats sound,seats
2214,weight distribution,weight
2215,petrol engine running,engine / power train
2216,electric adjustment (steering),Comfort & Ergonomics
2217,dynamic gearbox shift,transmission
2218,rs5 color,model / generic car terms
2220,remote features,driver assistance
2221,pricier versions,value / cost
2222,tyrell,wheels & tyres
2223,car seat,seats
2225,led lights,lighting
2226,looks,design
2227,engine,engine / power train
2228,windshield intensity,seats
2229,drive train technology,drive
2230,mercedes-benz,model / generic car terms
2231,back side headspace,climate / temperature control
2232,premium plus trim level,interior materials & trim / finish
2233,performance level,performance
2234,sl,model / generic car terms
2235,back head room,climate / temperature control
2236,counter drive,drive
2237,power folding,engine/ power train
2238,clutch,transmission
2239,knee rooms,passenger space
2240,footroom,passenger space
2241,tail light color,design
2242,carplay,connectivity / integration
2243,cup holder,storage & utility
2245,underfloor compartment,storage & utility
2247,brake discs,brake
2248,twisty road,road terrain
2250,split tailgate,boot/cargo
2251,hybrid technology,fuel / energy / charging
2252,fold down seats,seats
2253,boot size,boot/cargo
2255,plastic head,exterior materials & finish
2258,steering buttons,steering
2259,hybrid engine,engine / power train
2260,handling,Driving Dynamics / Handling
2262,circular dial,physical controls
2263,dynamic exhaust,exhaust
2264,height,dimensions & measurements
2265,front brakes discs,brake
