aspect,base_category
sports steering,steering
get in the car,Doors
manoeuvring at low speed,Acceleration
dynamic engine,engine/ power train
steering and lane controlled assistant,steering
pedal,brake
seat packets,seats
power dependability,engine/ power train
screen for air conditioning,Displays / Instrumentation
sounds,audio
slow speed,Acceleration
low speed,Acceleration
backseat headroom,seats
steering weight,steering
instrument gearbox,transmission
get in,Doors
front tires,Wheels & Tyres
steering ratio,steering
knee room,passenger space - knee room
folding mirrors,Mirrors
seat cover,seats
anti jacking,Safety
windscreen,Displays / Instrumentation
door bin front,Storage & Utility
back tire,Wheels & Tyres
front two seats,seats
display unit,Displays / Instrumentation
suspension,Suspension
power uplift,engine/ power train
six speed manual,transmission
options,Software / Interaction
dampers,Suspension
s c suspension,Suspension
mountain road,Road Terrain
air curtains,Climate / Temperature Control
running costs,Value / Cost
ambient lighting,lighting
two litre TF Excitable petrol,Fuel / Energy / Charging
mirror cover,Mirrors
adaptive dampers,Suspension
fuel efficiency,Fuel / Energy / Charging
A4  G5 seating,seats
BMW 3 40 I  engine,engine/ power train
baby seats,seats
headlight control,lighting
seatbelt butler,seats
gear,transmission
front trunk,boot_cargo
central screen,Displays / Instrumentation
suspension (dynamic mode),Suspension
normal comfort suspension,Suspension
suspension redesign,Suspension
engine sounds,engine/ power train
corner balance,Cornering / Grip
lower bumper,Road Terrain
fuel budget,Fuel / Energy / Charging
acceleration,Acceleration
seal between the doors,Doors
tires,Wheels & Tyres
steering precision,steering
down the door bins,Storage & Utility
F40 5 a.m. G brakes,brake
going downhill,Road Terrain
19 inch wheels,Wheels & Tyres
prices,Road Terrain
start stop feature,brake
gesture control,Gesture / Motion Controls
boot capacity,boot_cargo
swivel wheel,Wheels & Tyres
brightness,lighting
manual gear change,transmission
ergonomics,seats
TT cornering,Cornering / Grip
red cable hybrid engine,engine/ power train
wax dropping from the door,Doors
auxillary connectors,Connectivity / Integration
Mercedes technology,Software / Interaction
modern startup technology,Software / Interaction
braking feel,brake
blind spot warning,Safety
driving on bumps,Road Terrain
few bumps,Road Terrain
road imperfections,Road Terrain
down storage,boot_cargo
load bay,boot_cargo
boot,boot_cargo
shift button,Physical Controls
upshifts,transmission
seat backs,seats
drive at speed,Acceleration
seat bench,seats
sun visor,Windscreen / Wipers
A6 backseats,seats
variable rate steering,steering
touchpad,Software / Interaction
gear select,transmission
brake pedal,brake
digital screens,Displays / Instrumentation
roof rails,roof
roof rains,roof
pedal configuration,brake
get stuff in boot,boot_cargo
F40 5 a.m. G suspension,Suspension
practical side,Storage & Utility
steering turn,steering
pockets,Storage & Utility
reductive sport end suspension,Suspension
power liftgate,engine/ power train
screen display,Displays / Instrumentation
window ledges,lighting
launch control function,Acceleration
no load lift,boot_cargo
boot underfloor area,boot_cargo
s class front seat,seats
torque vectoring rear differential,engine/ power train
push button reach,Physical Controls
adjustable lumbar support,seats
pillar for leaning on window,Windows / Glass
gravel road,Road Terrain
manual transmission,transmission
soundtrack,audio
side trim,Wheels & Tyres
rearward facing child seats,seats
steering column,steering
headrest pillows,seats
touch screen,Displays / Instrumentation
fuel Momentum99,Fuel / Energy / Charging
rpm,engine/ power train
2.1 litre Turbo Diesel four cylinder,Fuel / Energy / Charging
power distribution,engine/ power train
rear seats,seats
liftgate,boot_cargo
selection mode,Physical Controls
back roofline,roof
center seat,seats
Parcel shelf,boot_cargo
torque capability,engine/ power train
windscreen map,Displays / Instrumentation
crevice,Road Terrain
pedal field,brake
adaptive suspension,Suspension
SD card slot,Connectivity / Integration
paddle shift gearbox,transmission
emergency services button,Safety
steering feedback,steering
storage,boot_cargo
backseat room,seats
engine starting,engine/ power train
silver trim on steering,steering
ride comfort,Suspension
wheel base,Wheels & Tyres
power plant,engine/ power train
carrying three headroom,passenger space - carrying three headroom
reversing assistant,Driver_Assistance
spring rate,Suspension
back seats,seats
temperature,Climate / Temperature Control
speed control,Acceleration
door pockets,Storage & Utility
five and 1/2 1000 rpm,engine/ power train
door opening,Doors
storage area,boot_cargo
throttle responsiveness,Acceleration
window seal,Windows / Glass
power delivery,engine/ power train
engine start,engine/ power train
seats down,seats
rear steering wheel,steering
temperature control,Climate / Temperature Control
fuel consumption,Fuel / Energy / Charging
lights,lighting
over speed,Acceleration
petrol,Fuel / Energy / Charging
dynamic downshift,transmission
cost,Value / Cost
turbo petrol,Fuel / Energy / Charging
corner breaking,Cornering / Grip
rear air conditioning,Climate / Temperature Control
Quattro engine,engine/ power train
engineering prowess,engine/ power train
boot opening,boot_cargo
quattro wheel drive,Wheels & Tyres
air blower,Climate / Temperature Control
space saver,passenger space - space saver
steering wheel paddles,steering
steering sensitivity,steering
cargo floor,boot_cargo
back side seats,seats
insurance price,Road Terrain
driver assistant system,Driver_Assistance
folding metal roof,roof
wheel look change,Wheels & Tyres
second row roof,roof
head space,passenger space - head space
front armrest,seats
privacy glass,Windows / Glass
steering ratio ride,steering
Wireless charging,Connectivity / Integration
front seat side bolster,seats
entire engine lineup,engine/ power train
rear haunches,passenger space - rear haunches
phone spot,Connectivity / Integration
satnav,Navigation / Mapping
torque,engine/ power train
Reversing assistant,Driver_Assistance
tire design,Wheels & Tyres
brake pedal field,brake
priced,Road Terrain
toggle switches,Software / Interaction
camera mirrors,Mirrors
headlamps,lighting
headlight design,lighting
volume knob,Physical Controls
energy harvesting,Fuel / Energy / Charging
interior space,passenger space - interior space
standard seats,seats
traditional amber lighting,lighting
car storage,boot_cargo
boot volume,boot_cargo
no rapid charging,Fuel / Energy / Charging
lift items,boot_cargo
electric seats,seats
door bin back,Storage & Utility
screen interface,Displays / Instrumentation
sticker price,Road Terrain
cover storage,boot_cargo
front bumpers,Road Terrain
steering wheel in parking,steering
front wheel drive,Wheels & Tyres
tire pressure monitor,Wheels & Tyres
rear wheel steering,steering
load lip,boot_cargo
seven speed automatic transmission,transmission
load and unload,boot_cargo
massage programs,seats
technology pack processor,Software / Interaction
roof up,roof
audio system,audio
boot storage,boot_cargo
rear seat,seats
front passenger seat fittings,seats
electricity fuel,Fuel / Energy / Charging
battery upgrade,Fuel / Energy / Charging
spare wheel,Wheels & Tyres
front passenger seat,seats
cargo sppace,boot_cargo
touchscreen,Displays / Instrumentation
high speed,Acceleration
rear seatbacks,seats
coin holders,Storage & Utility
cruise control system,Driver_Assistance
comfort suspension corner handling,Suspension
boot height,boot_cargo
bumper,Road Terrain
middle seat headroom,seats
