,aspect,base_category
1006,back seat space,Passenger Space
1007,windshield  intensity,windscreen / wipers
1008,option list,options & specifications
1009,sport seats,seats
1010,brake discs,brake
1011,command system,voice & commands
1012,roof bars,roof
1013,operation,Functionality & Features
1014,model,model / generic car terms
1015,220 c d engine,engine / power train
1016,ground clearance,dimensions & measurements
1017,hands free,voice & commands
1018,front story jacket,climate / temperature control
1019,accelerating in comfort mode,Comfort & Ergonomics
1020,carry three passengers in back,Passenger Space
1021,new q3,model / generic car terms
1022,modes,Driving Dynamics / Handling
1023,get snow off the car,road terrain
1024,price,Value / Cost
1025,steering feedback,steering
1026,lip,aerodynamics / airflow
1027,back piano plastic,Interior Materials & Trim / Finish
1028,second row sound,audio
1029,wind intakes,aerodynamics / airflow
1030,cabin,interior
1031,smaller bumps,road terrain
1032,sensors,connectivity / integration
1033,spokes,wheels & tyres
1034,top down,roof
1035,color tone,Design
1036,trip computer,displays / instrumentation
1037,door handle,Doors
1038,panel gaps,Build Quality / Construction
1039,pure electric range,fuel / energy / charging
1040,load space,Passenger Space
1041,hierarchy,packages / trims / variants
1042,hold assist price,driver assistance
1043,rs4,model / generic car terms
1044,finishes,interior materials & trim / finish
1045,tray,storage & utility
1046,innovations,Technology
1047,blind state monitoring,visibility & view
1048,front suspension,suspension
1049,fuel,fuel / energy / charging
1050,damp,suspension
1051,netting,Storage & Utility
1052,dynamic cruise control,driver assistance
1053,amenities,Functional Features
1054,parking guidance system,driver assistance
1055,turbo petrol,fuel / energy / charging
1056,door,doors
1057,pedals and springs,brake
1058,massage,Comfort & Ergonomics
1059,built,Build Quality / Construction
1060,feature set,Functionality & Features
1061,cargo hold,boot/cargo
1062,lincoln m . k . c,model / generic car terms
1063,launch control,acceleration
1064,options,software / interaction
1065,compartment,storage & utility
1066,rain,road terrain
1067,climate control dials,climate / temperature control
1068,badge,Design
1069,metal area,exterior materials & finish
1070,electric steering,steering
1071,bmw,model / generic car terms
1072,happenings,Emotional & Sensory Experience
1073,real world testing,performance
1074,audi badge,Design
1075,wagon,body type
1076,low speed,acceleration
1077,front brakes discs,brake
1078,glove box space,Passenger Space
1079,navigating menus,software / interaction
1080,glass,windows / glass
1081,skin,interior materials & trim / finish
1082,leather upgrade cost,interior materials & trim / finish
1083,response,Driving Dynamics / Handling
1084,foot and leg rest,seats
1085,button,model / generic car terms
1086,dead paddle,physical controls
1087,cell,connectivity / integration
1088,door,doors
1089,audi a8,model / generic car terms
1090,command online system,voice & commands
1091,wagon load,body type
1092,swivel,Physical Controls
1093,body lines,body class
1094,bmw seven series,model / generic car terms
1095,s c suspension,suspension
1096,hybrid,fuel / energy / charging
1097,disk,brake
1098,drive train,drive
1099,wheel arch intrusion,Exterior Materials & Finish
1100,entry level diesel engine,engine / power train
1101,upgraded screen,displays / instrumentation
1102,optional baskets,storage & utility
1103,rear headrooms,Passenger Space
1104,gesture controls,gesture / motion controls
1105,sensation,emotional & sensory experience
1106,e brake,brake
1107,plastic,exterior materials & finish
1108,camera review,visibility & view
1109,pull,acceleration
1110,coupe,body type
1111,my vehicle,Generic Description & Miscellaneous
1112,head unit,displays / instrumentation
1113,sports standard,Driving Dynamics / Handling
1114,in the car,model / generic car terms
1115,driver seat heat dissipation,drive
1116,rear seat combination,seats
1117,boot capacity,climate / temperature control
1118,quattro system,model / generic car terms
1119,satnav,navigation / mapping
1120,load floor,boot/cargo
1121,center console,Software / Interaction
1122,screen display,displays / instrumentation
1123,driving cars,drive
1124,driver assistant system,drive
1125,category,Generic References & Miscellaneous
1126,cabriole,body type
1127,driving function,drive
1128,front seat side bolster,seats
1129,central armrest,seats
1130,accelerations,climate / temperature control
1131,sunshades,Comfort & Ergonomics
1132,drag,aerodynamics / airflow
1133,steering sensitivity,steering
1134,stop start system,brake
1135,backseat functions,Functional Features
1136,warning sound,audio
1137,benefits,value / cost
1138,suspension spring,suspension
1139,glc c300,model / generic car terms
1140,offroadinfg,road terrain
1141,accelerates,climate / temperature control
1142,stuff,Generic Description & Miscellaneous
1143,side bolsters,seats
1144,intakes,aerodynamics / airflow
1145,normal suspension,suspension
1146,car,Generic Description & Miscellaneous
1147,wheel base,chassis / structural
1148,feel,Emotional & Sensory Experience
1149,support under legs,seats
1150,reversing camera definition,driver assistance
1151,adjustment,Functional Features
1152,top end rush,acceleration
1153,supercar,model / generic car terms
1154,magnifying glass,visibility & view
1155,winding roads,road terrain
1156,quattro wheel drive,model / generic car terms
1157,door mirror controller,doors
1158,electric platform,Chassis / Structural
1159,opening bonnet,bonnet
1160,three litre v sixty,engine/ power train
1161,bmw i a8 price,model / generic car terms
1162,fuel efficiency,fuel / energy / charging
1163,storage cubbies,storage & utility
1164,a7 price,model / generic car terms
1165,crevice,road terrain
1166,features,Functionality & Features
1167,battery pack,model / generic car terms
1168,sound,audio
1169,engine start,engine / power train
1170,exhaust crackle,exhaust
1171,rough terrain,road terrain
1172,exhaust pipe,exhaust
1173,magic sky feature,Functionality & Features
1174,boot useful features,boot/cargo
1175,massaging function,seats
1176,stereo,audio
1177,engineering prowess,engine / power train
1178,neighs,Emotional & Sensory Experience
1179,f40 5 a.m. g,model / generic car terms
1180,audi x1,model / generic car terms
1181,steering (sports mode),steering
1182,snow storm,road terrain
1183,steering (dynamic mode),steering
1184,gear shifter,transmission
1185,pine white,exterior materials & finish
1186,version,packages / trims / variants
1187,get out,doors
1188,electricity fuel,fuel / energy / charging
1189,v8 engine,engine / power train
1190,x1,model / generic car terms
1191,climate control location,climate / temperature control
1192,s6,model / generic car terms
1193,blind spot warning,safety
1194,equipped,Equipment
1195,receipts,Functional Features
1196,brake pedal,brake
1197,tracks drive,drive
1198,eco pro,fuel / energy / charging
1199,braking feel,Emotional & Sensory Experience
1200,turning,cornering
1201,any given road,road terrain
1202,carpet,model / generic car terms
1203,loading heavy cargo,boot/cargo
1204,steering,steering
1205,see,visibility & view
1206,technology pack cost,Value / Cost
1207,x line up,packages / trims / variants
1208,inside,interior
1209,work tables,storage & utility
1210,patterns,model / generic car terms
1211,underneath coating,Exterior Materials & Finish
1212,trim,Design
1213,ownership proposition,seats
1214,second row legroom,Passenger Space
1215,hold assist system,driver assistance
1216,interior color choices,Design
1217,foot brake,brake
1218,torque capability,engine/ power train
1219,parking assist,driver assistance
1220,base engine,engine / power train
1221,software,software / interaction
1222,field,road terrain
1223,fourth gear,transmission
1224,camera gun,cameras
1225,universal garage door opener,doors
1226,front wheels,wheels & tyres
1227,third generation,model / generic car terms
1228,backseat environment,Comfort & Ergonomics
1229,few buttons,model / generic car terms
1230,new platforms,Chassis / Structural
1231,package,climate / temperature control
1232,prowess,performance
1233,child seats,seats
1234,pedals,brake
1235,bump,road terrain
1236,window seal,aerodynamics / airflow
1237,rear row seat,seats
1238,audi a6,model / generic car terms
1239,view from back,Visibility & View
1240,energizing comfort control,Comfort & Ergonomics
1241,piston calliper,aerodynamics / airflow
1242,get in the car,doors
1243,bracing,climate / temperature control
1244,torque,engine/ power train
1245,balance,traction / stability
1246,protective system,driver assistance
1247,cool features,Functionality & Features
1248,kicks,acceleration
1249,font,Displays / Instrumentation
1250,stiffness,suspension
1251,audi a4,model / generic car terms
1252,modal,model / generic car terms
1253,general quality,build quality / construction
1254,bodywork,body class
1255,bmw a5,model / generic car terms
1256,backseat room,Passenger Space
1257,front door bins,storage & utility
1258,high load floor,boot/cargo
1259,footroom,Passenger Space
1260,seat sliding forward,model / generic car terms
1261,pose,Emotional & Sensory Experience
1262,manual,transmission
1263,picking the route,navigation / mapping
1264,crystal,interior materials & trim / finish
1265,handled,Driving Dynamics / Handling
1266,track days,climate / temperature control
1267,gas truck,fuel / energy / charging
1268,technology pack,Technology
1269,snow,road terrain
1270,quattro drive,model / generic car terms
1271,fuel filler,fuel / energy / charging
1272,ride suspension,drive
1273,lower side wall,body class
1274,speed limit,acceleration
1275,class,Body Class
1276,audi q3,model / generic car terms
1277,engine range,engine / power train
1278,mercedes technology,Technology
1279,rear doors,doors
1280,suspension choice,suspension
1281,air conditioning,aerodynamics / airflow
1282,front end,front section
1283,getting rid of  v10,engine / power train
1284,power train,engine/ power train
1285,split tailgate,boot/cargo
1286,extended cargo area,boot/cargo
1287,things,Generic Description & Miscellaneous
1288,volvo xc60 offroad,road terrain
1289,control interface,climate / temperature control
1290,blue and red stitches,interior materials & trim / finish
1291,engine sounds,engine / power train
1292,traction,climate / temperature control
1293,dynamic turn signals,Lighting / Indicators
1294,petrol engine running,engine / power train
1295,glove box,boot/cargo
1296,ashtray,storage & utility
1297,back seat,Seats
1298,window switches,physical controls
1299,grip level,cornering / grip
1300,sport back,Body Type
1301,q5,model / generic car terms
1302,sloping roof,roof
1303,exhaust note,exhaust
1304,door pockets,storage & utility
1305,front center,front section
1306,dynamic,Driving Dynamics / Handling
1307,tire design,Design
1308,back of the car,Rear Section
1309,unlock,keys & lock
1310,carrying three people in back,climate / temperature control
1311,cost steering,steering
1312,fenders,body class
1313,tracks,climate / temperature control
1314,storage spaces,Passenger Space
1315,minimalism,Design
1316,a6,model / generic car terms
1317,seat folding,seats
1318,engine note,engine / power train
1319,hardtop,roof
1320,logo,Design
1321,bench,seats
1322,speed up,acceleration
1323,drive system,drive
1324,gearbox auto mode,transmission
1325,build,build quality / construction
1326,ipod connector to stereo,audio
1327,differential,traction / stability
1328,ring system,software / interaction
1329,technologies,Technology
1330,smooth road drive,drive
1331,daily use,Storage & Utility
1332,hot hatch package,body type
1333,rear seat,seats
1334,parcel shelf,storage & utility
1335,headliner,roof
1336,interior experience,interior
1337,audio,model / generic car terms
1338,wide tires,wheels & tyres
1339,turn off option,engine / power train
1340,touchpad,software / interaction
1341,silver trim on steering,Design
1342,second row seats,seats
1343,incredibly tight street,road terrain
1344,opulence,Emotional & Sensory Experience
1345,boot space,Passenger Space
1346,view forward,visibility & view
1347,main screen,displays / instrumentation
1348,accelerate,climate / temperature control
1349,angular,design
1350,power release,engine/ power train
1351,offroad driving,drive
1352,gt price,model / generic car terms
1353,wind noise,audio
1354,equipment level,Equipment
1355,reversing,driver assistance
1356,boot storage,storage & utility
1357,button to open the boot,model / generic car terms
1358,rpm band,engine/ power train
1359,direction change,steering
1360,steering wheel mounted controls,steering
1361,folders,storage & utility
1362,digital display view change,visibility & view
1363,engines,engine / power train
1364,construction material,exterior materials & finish
1365,lighting,lighting
1366,fuel budget,fuel / energy / charging
1367,300d power,engine/ power train
1368,view of the vehicle,visibility & view
1369,wheel drive,drive
1370,adjustable lumbar support,Seats
1371,manual gearboxes,transmission
1372,center tunnel,Interior
1373,ending,Generic Description & Miscellaneous
1374,headrest pillows,seats
1375,seatbelt,seats
1376,definition,Emotional & Sensory Experience
1377,hold feature,Functionality & Features
1378,steering lock,steering
1379,x3,model / generic car terms
1380,front curves,body class
1381,sifting through menus,software / interaction
1382,shock absorbers,brake
1383,x1 x drive 28,model / generic car terms
1384,e break activation lever,climate / temperature control
1385,u turns,cornering
1386,deceleration,brake
1387,storage area,storage & utility
1388,petrol engine,engine / power train
1389,bmw badge,Design
1390,openings,doors
1391,leather,interior materials & trim / finish
1392,engine sound,engine / power train
1393,motorway,engine/ power train
1394,option packages,climate / temperature control
1395,overall interior quality,interior
1396,stretch out,Comfort & Ergonomics
1397,covering,exterior materials & finish
1398,temperature control,climate / temperature control
1399,back window,Windows / Glass
1400,lift over height,dimensions & measurements
1401,offroad pack,climate / temperature control
1402,audi a one,model / generic car terms
1403,torque redirection,engine/ power train
1404,camera on the roof,roof
1405,lower speed,acceleration
1406,standard system,software / interaction
1407,power allocation,engine/ power train
1408,coin holders,storage & utility
1409,nooks,storage & utility
1410,two litre turbo size,engine/ power train
1411,warranty,value / cost
1412,mirror cover,mirrors
1413,driver seat,drive
1414,corner dynamic mode,cornering
1415,arm rest,seats
1416,entertainment system touch,software / interaction
1417,parking assistant plus,driver assistance
1418,underfloor storage area,storage & utility
1419,tow hitch,storage & utility
1420,windshield wipers,aerodynamics / airflow
1421,sit up,seats
1422,front door,doors
1423,wax dropping from the door,doors
1424,sense,Functionality & Features
1425,dynamic mode air suspension,suspension
1426,acoustics,climate / temperature control
1427,volvo xc60 power,engine/ power train
1428,x drive,drive
1429,mountains,road terrain
1430,slide,model / generic car terms
1431,unload,boot/cargo
1432,center seats,seats
1433,fix covers,Exterior Materials & Finish
1434,trim,Design
1435,anti jacking,climate / temperature control
1436,hanging,Storage & Utility
1437,hinges,Doors
1438,smells,emotional & sensory experience
1439,bmw cars,model / generic car terms
1440,two litre engine,engine / power train
1441,carplay connectivity,connectivity / integration
1442,50 d engine,engine / power train
1443,steers,steering
1444,usb on 12v socket,connectivity / integration
1445,types of suspension,suspension
1446,sporting,Functionality & Features
1447,suspension (dynamic mode),suspension
1448,wheel designs,Design
1449,trappings,Interior Materials & Trim / Finish
1450,touring headroom,Passenger Space
1451,throttle responsiveness,model / generic car terms
1452,1.40 s8 engine upgrade,engine / power train
1453,rollover,safety
1454,front tires,wheels & tyres
1455,sidewall,body class
1456,seats dropping,seats
1457,windscreen,windscreen / wipers
1458,entertainment setup,software / interaction
1459,theme,Design
1460,kick,acceleration
1461,road noise,audio
1462,push button reach,model / generic car terms
1463,trunk shape,Design
1464,exterior styling,exterior materials & finish
1465,sun visors,Comfort & Ergonomics
1466,shape,Design
1467,planted call features,Functionality & Features
1468,infotainment system,software / interaction
1469,events,aerodynamics / airflow
1470,carrying large items,model / generic car terms
1471,rear air conditioning,aerodynamics / airflow
1472,diesel engines,engine / power train
1473,mercedes-benz  design,Design
1474,heads up display,displays / instrumentation
1475,figures,Distance / Efficiency / Mileage
1476,interior loom,interior
1477,price point feature,Functionality & Features
1478,control over region,Driving Dynamics / Handling
1479,toggle switches,physical controls
1480,couch,seats
1481,back comfort,Comfort & Ergonomics
1482,choice,road terrain
1483,focus,Emotional & Sensory Experience
1484,door bin,storage & utility
1485,exhaust systems,exhaust
1486,fragrance,emotional & sensory experience
1487,wireless charging,connectivity / integration
1488,air intakes,aerodynamics / airflow
1489,swivel controller,physical controls
1490,metallic speakers,audio
1491,torque vectoring,engine/ power train
1492,front motor setup,engine/ power train
1493,mileage,Distance / Efficiency / Mileage
1494,engine automatic switch off,engine / power train
1495,comfy setting,Comfort & Ergonomics
1496,virtual cockpit,displays / instrumentation
1497,platform base,Chassis / Structural
1498,back room,Passenger Space
1499,downhill speed regulation,acceleration
1500,0.1 litre,engine / power train
1501,entertainment display,displays / instrumentation
1502,rock crawling,road terrain
1503,cornering,cornering / grip
1504,device,road terrain
1505,quality,build quality / construction
1506,drivers,drive
1507,drive in town,drive
1508,overall seating position,seats
1509,v8 engine,engine / power train
1510,hatch,body type
1511,traction management,climate / temperature control
1512,emission,fuel / energy / charging
1513,nine speed automatic,transmission
1514,rear parking,parking
1515,wheel design,Design
1516,durability,value / cost
1517,mode switch,Driving Dynamics / Handling
1518,down storage,storage & utility
1519,bmw i a8,model / generic car terms
1520,material quality,interior materials & trim / finish
1521,front headlights,lighting
1522,20 inch wheel,wheels & tyres
1523,upgrade premium plus package,climate / temperature control
1524,smell,Emotional & Sensory Experience
1525,bmw x1,model / generic car terms
1526,gt three dry road,model / generic car terms
1527,c class,model / generic car terms
1528,styling,Design
1529,gearbox,transmission
1530,seatbelt adjustment,Safety
1531,gearshift modifications,transmission
1532,rear pillar,chassis / structural
1533,progress,Driving Dynamics / Handling
1534,central speaker,audio
1535,sport,Driving Dynamics / Handling
1536,center of gravity,Weight
1537,fender flares,body class
1538,get stuff in boot,boot/cargo
1539,visual presence,Design
1540,heavy cornering,cornering / grip
1541,vibe,Emotional & Sensory Experience
1542,new x3,model / generic car terms
1543,starting the car,model / generic car terms
1544,a3 series,model / generic car terms
1545,graphics chip,displays / instrumentation
1546,satellite navigation system,navigation / mapping
1547,ac,climate / temperature control
1548,torque converter,engine / power train
1549,mapping,navigation / mapping
1550,steering wheel paddles,steering
1551,comfort plus mode,Comfort & Ergonomics
1552,rear spoiler,fuel / energy / charging
1553,receiving position,seats
1554,air scarf,aerodynamics / airflow
1555,carrying three headroom,Passenger Space
1556,new technology,Technology
1557,station wagon,body type
1558,trunk,boot/cargo
1559,remote features,Functionality & Features
1560,interior design philosophy,Design
1561,opening,doors
1562,rough surface,climate / temperature control
1563,lower lip,aerodynamics / airflow
1564,length,model / generic car terms
1565,dampers,suspension
1566,central arm rest,seats
1567,dials and buttons,model / generic car terms
1568,diesel with four turbos,engine/ power train
1569,rear seating,seats
1570,handling,Driving Dynamics / Handling
1571,seal between the doors,doors
1572,foot room,Passenger Space
1573,material,interior materials & trim / finish
1574,bits,Generic Description & Miscellaneous
1575,camera special effects,cameras
1576,plugin hybrid,fuel / energy / charging
1577,fifth portion,Passenger Space
1578,functionality,Functionality & Features
1579,ride comfort,Comfort & Ergonomics
1580,water jets,windscreen / wipers
1581,middle chair,aerodynamics / airflow
1582,knee airbag,safety
1583,tray tables,storage & utility
1584,public roads,road terrain
1585,well being,Emotional & Sensory Experience
1586,touch pad,software / interaction
1587,center section,Interior
1588,start stop,engine / power train
1589,user interface,software / interaction
1590,seat,seats
1591,output figures,engine/ power train
1592,entertainment system view,visibility & view
1593,steering ratio,steering
1594,carplay,connectivity / integration
1595,bmw four serious,model / generic car terms
1596,brake,brake
1597,bonnet,bonnet
1598,storage tray,storage & utility
1599,centre armrest,seats
1600,folding metal roof,roof
1601,load lift,boot/cargo
1602,eco pro mode,fuel / energy / charging
1603,seatback release,Seats
1604,sports plus mode,Driving Dynamics / Handling
1605,rest of the car,Generic Description & Miscellaneous
1606,cruising,driver assistance
1607,look,Design
1608,lateral grip,cornering / grip
1609,boot storage cover,boot/cargo
1610,rear engine,engine / power train
1611,centre console,Software / Interaction
1612,acceleration noise,climate / temperature control
1613,new r8,model / generic car terms
1614,taxi drive,drive
1615,comfort adaptive,Comfort & Ergonomics
1616,touring body,body class
1617,tire pressure monitoring,wheels & tyres
1618,gear select,transmission
1619,driver assisstance technology,Technology
1620,steering wheel control,steering
1621,laser light headlights,lighting
1622,backseats,Seats
1623,deductive suspension,suspension
1624,microphones,audio
1625,m6 port,model / generic car terms
1626,get in and out -front,doors
1627,steering guidance,steering
1628,extra bits of trim,Design
1629,spring,suspension
1630,standard seats,seats
1631,tail lights design,Design
1632,net,Storage & Utility
1633,styling appeal,Design
1634,reading light,lighting
1635,loading,boot/cargo
1636,hood,bonnet
1637,manoeuvre in traffic,road terrain
1638,leds,lighting
1639,new q5,model / generic car terms
1640,volvo xc60 drive,model / generic car terms
1641,design quality,Design
1642,gesture control,gesture / motion controls
1643,callipers,aerodynamics / airflow
1644,crystal knob,physical controls
1645,running cost,value / cost
1646,highway,road terrain
1647,saloon,body type
1648,door trim,Design
1649,overall picture,model / generic car terms
1650,seating position,seats
1651,release button for center console,model / generic car terms
1652,third row leg room,Passenger Space
1653,storage pouch,storage & utility
1654,high speed mobile internet,connectivity / integration
1655,roundabouts,cornering
1656,sport suspension mode,suspension
1657,town,road terrain
1658,option sheet,options & specifications
1659,information display,displays / instrumentation
1660,sports model,model / generic car terms
1661,front seat backs,Seats
1662,review of car,visibility & view
1663,slippery track,model / generic car terms
1664,leather,interior materials & trim / finish
1665,window surround,aerodynamics / airflow
1666,weight balance,weight
1667,climate control,climate / temperature control
1668,hybrid version,fuel / energy / charging
1669,split gate height,boot/cargo
1670,tire pressure monitor,wheels & tyres
1671,going downhill,road terrain
1672,sides,side section
1673,sports plus exhaust,exhaust
1674,center stack,climate / temperature control
1675,g class,model / generic car terms
1676,curvy road,road terrain
1677,middle setting,model / generic car terms
1678,performance amount,performance
1679,smooth road,road terrain
1680,x5,model / generic car terms
1681,tray storage,storage & utility
1682,glove box latch,boot/cargo
1683,get in,doors
1684,tronic gearbox,transmission
1685,torque vectoring rear differential,traction / stability
1686,electric seats,seats
1687,audi a3 lineup,model / generic car terms
1688,speed control,acceleration
1689,emotion,Emotional & Sensory Experience
1690,life in tires,wheels & tyres
1691,front space,Passenger Space
1692,total range,Distance / Efficiency / Mileage
1693,performance,performance
1694,rough roads,road terrain
1695,sports car,model / generic car terms
1696,rs6 color,Design
1697,bmw remote control parking,model / generic car terms
1698,rest of the finish,interior materials & trim / finish
1699,aluminium,exterior materials & finish
1700,bumper,road terrain
1701,steering precision,Driving Dynamics / Handling
1702,glove box size,boot/cargo
1703,luxury package,climate / temperature control
1704,interior leather,interior
1705,led lights,lighting
1706,cushions,seats
1707,light cover,lighting
1708,autonomous driving,drive
1709,drift mode,Driving Dynamics / Handling
1710,windscreen wipers,windscreen / wipers
1711,bmw,model / generic car terms
1712,flaps,Aerodynamics / Airflow
1713,slip differential,traction / stability
1714,widescreen setting,model / generic car terms
1715,carpeting,model / generic car terms
1716,twist road,road terrain
1717,electronic shifter,transmission
1718,interior,interior
1719,s60 time,model / generic car terms
1720,i drive seven,drive
1721,bmw a8,model / generic car terms
1722,rough road,road terrain
1723,a4 boot,model / generic car terms
1724,headlight,lighting
1725,window lead,aerodynamics / airflow
1726,blind spot monitoring,safety
1727,dials,displays / instrumentation
1728,styling accents,Design
1729,back pillar,Chassis / Structural
1730,people over six foot,passenger space
1731,steering feel,Emotional & Sensory Experience
1732,reliability,value / cost
1733,exhaust flaps,exhaust
1734,air curtains,aerodynamics / airflow
1735,peddle operation,Physical Controls
1736,audi tron,model / generic car terms
1737,corner comfort mode,Comfort & Ergonomics
1738,driving environment,drive
1739,put together,build quality / construction
1740,rev. counter,displays / instrumentation
1741,usability,Storage & Utility
1742,visibility at the front,visibility & view
1743,driving environment lay out,drive
1744,design details,Design
1745,competition,Model / Generic Car Terms
1746,0 to 60 acceleration,climate / temperature control
1747,track,climate / temperature control
1748,roadworks,Functionality & Features
1749,camber,road terrain
1750,useable,Storage & Utility
1751,dirt,road terrain
1752,surround view camera system,visibility & view
1753,twin turbo petrol,engine/ power train
1754,sitting,model / generic car terms
1755,regionalism,Driving Dynamics / Handling
1756,piano black trim,Design
1757,paint,exterior materials & finish
1758,room inside,Passenger Space
1759,adjustable side bolsters,Seats
1760,magic body control camera,body class
1761,horses,performance
1762,keyless entry,doors
1763,style,Design
1764,paddles,physical controls
1765,portal pini k gearbox,transmission
1766,wind,aerodynamics / airflow
1767,door plastics,doors
1768,vehicle everything else,Generic Description & Miscellaneous
1769,laser lights,lighting
1770,straight driving,drive
1771,interior fit and finish,interior
1772,information,Technology
1773,middle section,passenger space
1774,charges,fuel / energy / charging
1775,top cover,roof
1776,usb charging ports,connectivity / integration
1777,detail lights,lighting
1778,go to 50,acceleration
1779,side trim,Design
1780,artificial noise,audio
1781,a one,model / generic car terms
1782,electronic,Technology
1783,trunks,boot/cargo
1784,backend capacity,Rear Section
1785,glovebox,boot/cargo
1786,softer suspension,suspension
1787,wheel turn,wheels & tyres
1788,shoulder room,Passenger Space
1789,wing mirror,mirrors
1790,top end,acceleration
1791,hood latches,bonnet
1792,foot down,acceleration
1793,wider items,Storage & Utility
1794,selection mode,physical controls
1795,fit and finish,interior materials & trim / finish
1796,driving system,drive
1797,ends,Rear Section
1798,brake field,brake
1799,overall length,model / generic car terms
1800,passenger space,Passenger Space
1801,wheel options,software / interaction
1802,corner braking,brake
1803,quattro software,model / generic car terms
1804,dash angle,displays / instrumentation
1805,ski hatch,body type
1806,manual mode drive,transmission
1807,boot lip,aerodynamics / airflow
1808,arches,Exterior Materials & Finish
1809,straps,Storage & Utility
1810,sexiness,Emotional & Sensory Experience
1811,ceramic brakes,brake
1812,sub menus,software / interaction
1813,interior space,Passenger Space
1814,drivability,Driving Dynamics / Handling
1815,materials quality,interior materials & trim / finish
1816,cervix fittings,model / generic car terms
1817,body shape,body class
1818,audi virtual cockpit,model / generic car terms
1819,s class driving experience,model / generic car terms
1820,augmented reality satellite navigation system,navigation / mapping
1821,diesel engine,engine / power train
1822,goc 43,model / generic car terms
1823,turbo lag,engine/ power train
1824,steering wheel shape,Design
1825,dry,road terrain
1826,glass elements on gear selector,transmission
1827,rear end,rear section
1828,going fast on motorway,acceleration
1829,air deflector,aerodynamics / airflow
1830,chassis braces,climate / temperature control
1831,speaker,audio
1832,traction control,climate / temperature control
1833,corner lamps,cornering
1834,cutaways for covers,exterior materials & finish
1835,rear seats,seats
1836,safety kit,safety
1837,maneuverability,Driving Dynamics / Handling
1838,feel,Emotional & Sensory Experience
1839,lettering,Design
1840,blind spots,safety
1841,changing gears using paddles,transmission
1842,door handles,Doors
1843,power recovery,engine/ power train
1844,interior ambience,Emotional & Sensory Experience
1845,rear diffuser,aerodynamics / airflow
1846,cooling drink,Storage & Utility
1847,utility,Storage & Utility
1848,country roads,road terrain
1849,gear,transmission
1850,bmw six series gt,model / generic car terms
1851,cabin features,Functionality & Features
1852,roof up and down,roof
1853,sight,visibility & view
1854,boot size,boot/cargo
1855,switches,physical controls
1856,dash design,Design
1857,accelerating,climate / temperature control
1858,center armrest,seats
1859,blinds,windows / glass
1860,shortcut buttons,model / generic car terms
1861,no lower lip,aerodynamics / airflow
1862,elbow room,Passenger Space
1863,glass elements,windows / glass
1864,fuel tank,fuel / energy / charging
1865,v8 engine drive,engine / power train
1866,air density,seats
1867,top,Roof
1868,exhaust layer,exhaust
1869,stability,traction / stability
1870,boot,boot/cargo
1871,diamonds,interior materials & trim / finish
1872,iceberg covers,Exterior Materials & Finish
1873,sports plus suspension,suspension
1874,shift lever,transmission
1875,estate,body type
1876,comfort,Comfort & Ergonomics
1877,voice recognition system,voice & commands
1878,petrol consumption,fuel / energy / charging
1879,automatic numbers,Distance / Efficiency / Mileage
1880,a3 platform,model / generic car terms
1881,outside,body class
1882,speed dialog system,acceleration
1883,driving experience,drive
1884,starting price,road terrain
1885,road around bends,road terrain
1886,alloys,wheels & tyres
1887,spacious,climate / temperature control
1888,x interface,climate / temperature control
1889,mercedes-benz c . l . a,model / generic car terms
1890,rotary dial,physical controls
1891,central hat,Roof
1892,electricity usage,fuel / energy / charging
1893,weight loss,weight
1894,bmw x3,model / generic car terms
1895,entertainment system,software / interaction
1896,sport driving,drive
1897,room width wise,Passenger Space
1898,climate control buttons,model / generic car terms
1899,r three,model / generic car terms
1900,wifi connectivity,connectivity / integration
1901,satellite navigation,navigation / mapping
1902,engine noise,engine / power train
1903,cargo space,Passenger Space
1904,steering wheel,steering
1905,cockpit,displays / instrumentation
1906,corner exiting traction,climate / temperature control
1907,front can,front section
1908,audi x3,model / generic car terms
1909,saloon s5 headroom,Passenger Space
1910,over speed,acceleration
1911,rear haunches,passenger space
1912,mercedes-benz,model / generic car terms
1913,trim (outside),Design
1914,widescreen,displays / instrumentation
1915,front two seats,seats
1916,three passengers,passenger space
1917,manual gear change,transmission
1918,quattro wheel drive,model / generic car terms
1919,exterior noise,exterior materials & finish
1920,gear change,transmission
1921,sticker price,road terrain
1922,folders on the backs of the chairs,Storage & Utility
1923,antiroll bars,traction / stability
1924,parking brake,brake
1925,armrest,seats
1926,front weight,Weight
1927,interior design,Design
1928,power uplift,engine/ power train
1929,foot well,passenger space
1930,x two,model / generic car terms
1931,rear windows,aerodynamics / airflow
1932,i three,model / generic car terms
1933,gt-r,model / generic car terms
1934,cost,value / cost
1935,load and unload,boot/cargo
1936,luxury seating package,climate / temperature control
1937,climb,road terrain
1938,aerodynamics,Driving Dynamics / Handling
1939,trunk size,boot/cargo
1940,changing plugs,Engine / Power Train
1941,front cabin,interior
1942,engine auto cut off,engine / power train
1943,drives,drive
1944,s tronic gearbox,model / generic car terms
1945,tether points,boot/cargo
1946,shift changes,transmission
1947,car wash,model / generic car terms
1948,digital key,connectivity / integration
1949,door locks,doors
1950,feel behind the steering,Emotional & Sensory Experience
1951,sport pack,climate / temperature control
1952,upgraded all round air suspension,suspension
1953,middle headroom,Passenger Space
1954,mpg,Distance / Efficiency / Mileage
1955,residual value,value / cost
1956,city drive,drive
